順位,名前,動画,レス,pixiv,検索,得点,前回
137,ホスト風兄貴,89,90,0,389,134,125
138,毎回屈辱ヒーローガンバマン,67,117,4,898,130,
139,MNR,41,138,15,3320,128,135
140,南佳也,38,78,4,46900,128,46
141,竈門禰豆子(淫夢),51,133,7,446,125,132
142,イニ義893,51,127,7,1180,123,138
143,金泰均(COAT),54,133,0,283,121,126
144,MYN,71,62,12,2440,116,156
145,還暦の巨根オヤジ,44,139,1,1470,116,147
146,しんたろう,64,22,39,823,115,231
147,淫夢厨(淫夢),7,207,1,3260,115,143
148,SIY,89,20,9,2750,111,141
149,ヘカーティア・ラピスラズリ(淫夢),71,74,2,504,111,146
150,強精コンビ,95,23,0,1610,108,149
151,慎悟,8,0,99,263,107,441
152,野獣母,35,139,1,1550,107,144
153,クラウド(淫夢),66,76,2,496,106,145
154,SKBNK,65,77,0,471,104,151
155,テラドン,65,71,2,1220,104,152
156,TRN,46,89,10,2650,103,155
157,乳首モロ感真面目部長,28,146,1,1070,103,148
158,イカせ隊,63,67,0,5270,102,140
159,短髪メガネ野郎(短髪モロ感野郎),46,107,0,209,100,142
160,ラブオイル校長,22,141,4,1540,98,154
161,バルカン大先輩,64,62,0,865,96,166
162,左慈半造,48,90,1,550,95,66
163,ZUN(淫夢),68,46,1,1200,93,153
164,4003勝の男,33,113,1,1190,92,158
165,大好き氏,14,146,1,2000,90,169
166,ITI,43,66,11,2780,90,170
167,大谷翔平(淫夢),17,138,0,1440,87,
168,浣腸芸人,53,60,3,1150,87,163
169,ダーク食パンマン,51,60,4,2060,87,159
170,ミスターマラ菊,79,13,0,317,86,164
171,小森(ゴミ漁りの達人),76,15,2,198,86,161
172,島田兄弟,50,12,29,168,85,199
173,KBTIT_Jr,49,69,0,340,84,171
174,バイト君,20,2,28,34400,83,389
175,まさよしくん,21,112,3,2080,82,165
176,義臣,80,3,0,401,82,317
177,テングザル兄貴,26,100,1,1170,78,185
178,DKSGNKTI,64,25,1,466,78,157
179,ダンマー(淫夢),46,62,0,590,78,176
180,失礼インタビュアー,44,66,0,334,77,193
181,ウルフ(淫夢),66,22,0,271,77,173
182,ハンガリー舞曲兄貴,56,37,0,1120,76,175
183,偽MUR,62,21,1,883,74,177
184,真崎航,23,23,38,1330,74,75
185,野獣大先輩,42,59,0,2130,74,174
186,豹変インタビュアー,37,72,0,434,73,
187,修行兄貴,48,43,2,317,72,179
188,平野のどうぞという声にしか反応しない扉,16,110,0,116,71,168
189,綱太,44,49,2,496,71,180
190,中山幸一,50,33,3,1180,71,194
191,IWS,22,63,16,1030,71,207
192,高校生君,66,6,0,383,69,178
193,AMFTTSFNDKTETNKTIBWMTKKKSJNSHF,8,122,0,244,69,271
194,NT(ニッタ),21,94,1,100,69,160
195,ゆうま(淫夢),48,31,5,295,69,192
196,ティーダ(淫夢),43,49,0,1130,69,172
197,森林原人,39,32,2,11400,68,110
198,初心者のM,50,21,5,2240,68,201
199,第三のいなり男,26,71,3,1210,66,191
200,ECZN,32,54,4,1960,65,188
201,ブルドックス,35,54,1,1730,65,187
202,MTSMAPNMRKNNSKKR,12,100,2,524,65,198
203,篤太郎さん,35,58,0,185,64,196
204,変面20でNKTIDKSGの後に出てくるやつ,46,33,1,456,64,195
205,MRKM,35,50,3,899,64,190
206,野獣兄,22,70,4,2330,63,183
207,新宿調教センター,33,44,0,4570,60,210
208,奈義(COAT),56,5,0,94,59,134
209,迫真先生,49,8,4,698,58,181
210,KEN(淫夢),26,55,4,111,58,189
211,ナイナイ岡村,33,30,8,1060,57,200
212,でこっぱち君,11,87,0,393,55,202
213,杰兄貴,41,26,0,283,54,206
214,野獣姉,11,79,2,789,53,204
215,バレーボールくん,42,20,1,267,53,209
216,カンパニー松尾,30,0,1,22100,53,
217,フィスト大魔王,31,37,3,300,53,212
218,後ろの木みたいなやつ,37,31,0,255,53,220
219,バレー青年,50,4,0,164,52,252
220,星(淫夢),22,37,2,8760,51,226
221,小柄メガネのウケ中年,26,50,0,181,51,213
222,BROS.,26,4,1,21900,51,434
223,魂魄妖夢(淫夢),37,15,3,1900,49,244
224,ジェフリー・ダーマー(淫夢),13,69,0,727,48,
225,MMR部長,14,67,0,199,48,216
226,DJ兄貴,47,1,0,53,48,492
226,アクメルくん,9,38,19,553,48,217
228,佐久間良雄,37,6,6,419,46,352
229,二千ドル男,33,12,6,314,45,205
230,いまきた加藤,36,18,0,263,45,214
231,ネス(淫夢),35,20,0,133,45,222
232,カダフィ大佐(淫夢),44,0,0,922,45,
233,悶絶先生,44,0,0,570,45,184
234,肉体派インタビュアー,28,32,0,481,44,211
235,樋口黎,6,76,0,218,44,197
236,しゃがれ声,22,43,0,547,44,249
237,宮永通世,31,17,3,1400,44,241
238,メガデス怪人,27,10,9,1680,43,232
239,えいた(淫夢),20,45,0,103,43,233
240,KJM,34,13,1,409,42,246
241,のび太(淫夢),16,50,0,170,41,136
242,ホモの兄ちゃん,9,57,0,3570,41,238
243,副市長,29,15,3,1470,41,247
244,松田陸,1,66,5,212,39,218
245,伸治,29,16,0,1760,39,254
246,野獣弟,18,40,0,458,38,182
247,野中玄太,34,2,3,364,38,467
248,INUE君,19,14,11,1020,38,215
248,礼二,20,11,11,1520,38,279
250,だるま親爺,28,19,0,313,38,208
251,ダミ声スタッフ,32,10,0,500,38,256
252,アメリカン兄貴,31,9,1,984,37,234
253,カズレーザー(淫夢),21,31,0,798,37,253
254,TBS(淫夢),37,0,0,142,37,262
255,おフェラ座の怪人,31,7,1,1450,37,228
256,HMGC,32,9,0,389,37,250
257,アナアサでタバコ落とした人,30,12,0,684,37,
258,しあわせ紳士,23,26,0,258,36,248
259,INUE,31,2,2,2250,36,424
260,OKD(淫夢),23,1,11,1090,36,364
261,草薙ケン,30,0,5,419,35,227
262,嫉妬男,33,3,0,371,35,338
263,アキラ(淫夢),30,9,0,251,35,265
264,ポイズン菊池,21,19,4,221,35,245
265,横井警備員,26,15,0,656,34,240
266,アーウェイ,26,6,5,83,34,412
267,孫悟空(淫夢),6,53,1,417,34,
268,ゴーグル男,21,25,0,267,34,224
269,こう(淫夢),23,16,2,313,33,259
270,ASH(淫夢),33,0,0,113,33,263
271,佐々木主任,4,0,29,94,33,485
272,エレファントドアくん,25,15,0,150,33,266
273,TTY,26,4,2,1680,32,305
274,ホワイトマン,19,8,8,510,32,355
275,由利(淫夢),14,32,0,112,30,235
276,変態親父,7,7,3,16200,30,426
277,木村和輝,28,1,1,129,30,219
278,SUT(淫夢),20,19,0,90,30,268
279,ついに発掘された男,13,30,0,326,28,221
280,ISHR先生,21,12,1,323,28,275
281,インラン親爺,12,30,0,906,28,277
282,IGRS,27,1,0,268,28,283
283,貴乃信,22,10,0,378,27,278
284,KMR(野獣大先輩),16,22,0,196,27,287
285,NITU,16,18,1,908,27,300
286,東郷健,23,5,1,249,27,
287,ガン掘リア宮殿,19,13,0,1210,27,293
288,ドチンピラ,17,18,0,373,26,294
289,スティーブ・ジョブズ(淫夢),15,22,0,225,26,270
290,やりマン兄貴,21,10,0,156,26,261
291,赤豚,16,4,6,1930,26,298
292,りゅうくん,16,8,4,1790,26,281
293,茶髪チャラ男(AKNM),22,5,1,85,26,290
294,池沼兄貴,11,28,0,475,25,288
295,江島隼人,23,3,0,594,25,329
296,OZW,17,10,2,780,25,267
297,KMD,15,2,8,714,25,433
298,NOBUMASA(淫夢),22,5,0,54,25,291
299,熊太郎,22,0,2,218,24,
300,ピカチュウパンツ兄貴,12,21,1,299,24,239
301,18番(淫夢),19,9,0,93,24,302
302,院長(Fatherless),13,18,0,1430,23,340
303,ゴーグル先生,17,5,2,1810,23,237
304,ズ・ゴオマ・グ(淫夢),14,16,1,51,23,342
305,野獣従兄弟,20,4,0,902,23,264
306,爆弾岩くん,10,25,0,92,23,301
307,優人(WEST),21,3,0,51,23,243
308,レイザー(レスリングシリーズ),18,9,0,32,23,229
309,イケボスタッフ,20,1,1,564,22,299
