順位,名前,動画,BB,レス,pixiv,検索,前回,得点
1,KBTIT,12059,1353,35768,1532,2220000,2(+1),33695
2,野獣先輩,20090,3293,4607,4380,5410000,1(-1),32184
3,ひで(淫夢),1667,205,5116,383,202000,3(±0),4810
4,MUR,2460,367,1459,604,19800,4(±0),3813
5,西寺郷太,1527,74,2977,74,249000,6(+1),3339
6,TDN,1499,62,2204,231,327000,9(+3),3159
7,淫夢くん,1206,108,1396,596,280000,7(±0),2780
8,虐待おじさん,1546,172,1614,352,72300,8(±0),2777
9,KMR,1720,214,922,306,253000,10(+1),2740
10,ゆうさく,2076,111,901,109,25300,5(-5),2661
11,NKTIDKSG,1903,192,1185,64,36600,12(+1),2596
12,現場監督,849,123,2838,80,165000,14(+2),2513
13,ガバ穴ダディー,1644,121,1220,141,13800,13(±0),2409
14,AKNM,1355,297,1804,29,115000,11(-3),2401
15,遠野(淫夢),1227,211,879,139,145000,15(±0),1951
16,平野源五郎,928,76,1506,164,47200,17(+1),1892
17,ONDISK,556,40,2327,33,121000,16(-1),1874
18,マジメ君,1204,216,787,45,179000,19(+1),1822
19,関西クレーマー,930,32,1011,107,234000,21(+2),1777
20,GO(淫夢),855,141,991,60,309000,18(-2),1720
21,うんち提案おじさん,192,17,2347,80,256000,22(+1),1702
22,TNOK,912,70,541,411,36800,20(-2),1630
23,SNJ,1098,83,556,196,4110,23(±0),1576
24,YOU_THE_ROCK★,827,22,678,18,196000,38(+14),1380
25,ピンキー姉貴,749,75,680,137,37800,24(-1),1264
26,肉体派おじゃる丸,778,91,745,58,16600,26(±0),1225
27,蒼武蔵,695,44,927,59,5670,New!!,1223
28,課長こわれる,623,28,946,72,11200,25(-3),1179
29,AKYS,514,88,1117,92,10800,28(-1),1175
30,77歳の肛門モロ感の親爺,585,224,874,43,51300,30(±0),1116
31,武田信玄(淫夢),754,39,639,28,10100,31(±0),1112
32,ドラゴン田中,543,56,785,102,29700,29(-3),1067
33,オークション男,661,17,567,23,56600,32(-1),1024
34,バットマン(淫夢),850,44,195,25,8070,27(-7),981
35,じゅんぺい,273,31,1278,26,9990,33(-2),948
36,淫乱テディベア,428,11,387,81,239000,34(-2),942
37,島田部長,321,33,942,12,13000,44(+7),817
38,チョコボール向井,560,42,70,7,204000,36(-2),806
39,INUEコーチ,34,4,1497,1,1860,35(-4),785
40,KYN,333,39,588,73,7600,37(-3),708
41,AOK,501,10,323,15,6090,39(-2),684
42,剛竜馬,224,27,241,29,309000,50(+8),683
43,ハガー市長(淫夢),447,25,405,26,2720,40(-3),678
44,KBSトリオ,311,21,469,115,14400,42(-2),675
45,大島薫,28,2,301,79,411000,41(-4),669
46,南佳也,33,4,62,8,566000,240(+194),638
47,DB(淫夢),191,54,285,244,45900,46(-1),623
48,ヒゲクマ調教師,244,34,636,42,7830,43(-5),612
49,第二のいなり男,403,18,256,63,8740,48(-1),603
50,セミ兄貴,186,8,270,30,175000,55(+5),526
51,鈴木(淫夢),504,37,39,0,1410,45(-6),525
52,野獣邸,150,14,569,29,24800,53(+1),488
53,HTN,183,25,469,51,6550,47(-6),475
54,TRSM,11,4,854,0,30200,49(-5),468
55,中野くん(淫夢),197,16,399,54,7830,51(-4),458
56,変態オナニー青年アキラ,150,9,514,6,5360,New!!,418
57,我修院(淫夢),179,24,387,27,9730,57(±0),409
58,HND△,243,16,209,45,3190,52(-6),396
59,関西チャラ男,178,29,238,31,44700,60(+1),373
60,一般通過爺,165,25,312,39,8070,54(-6),368
61,いなり男,222,20,65,74,18700,89(+28),347
62,ホリ・トオル,255,16,135,17,6790,88(+26),346
