順位,名前,動画,BB,レス,pixiv,前回,得点
125,SIY,88,31,20,10,141(+16),103
126,OGRSYN,55,2,185,1,120(-6),102
127,クチマン爺,41,5,214,7,118(-9),101
128,強精コンビ,93,11,23,0,149(+21),98.8
129,毎回屈辱ヒーローガンバマン,67,4,110,2,New!!,96.5
130,Toraemon,52,8,167,2,137(+7),95.8
131,MYN,71,7,62,8,156(+25),94.5
132,竈門禰豆子(淫夢),51,4,133,9,132(±0),93.3
133,征矢,65,6,107,1,139(+6),92.8
134,ヘカーティア・ラピスラズリ(淫夢),71,8,74,2,146(+12),91.5
135,イニ義893,51,10,127,7,138(+3),89.8
136,金泰均(COAT),54,6,133,0,126(-10),87.3
137,クラウド(淫夢),66,8,76,2,145(+8),87
138,テラドン,65,13,71,4,152(+14),86.8
139,MNR,41,6,138,11,135(-4),86.5
140,SKBNK,65,17,75,0,151(+11),83.8
141,ミスターマラ菊,79,6,13,0,164(+23),82.3
142,小森(ゴミ漁りの達人),76,1,15,2,161(+19),81.8
143,ZUN(淫夢),68,12,46,1,153(+10),80.5
144,イカせ隊,63,12,67,0,140(-4),79.8
145,還暦の巨根オヤジ,44,1,138,1,147(+2),79.5
145,バルカン大先輩,64,7,62,0,166(+21),79.5
147,TRN,45,5,89,8,155(+8),75.3
148,つとむ,59,5,58,1,162(+14),74.5
149,浣腸芸人,56,13,60,3,163(+14),74
150,佐野恵太,48,4,75,6,150(±0),72.8
151,左慈半造,48,2,90,1,66(-85),71.5
152,DKSGNKTI,64,26,25,1,157(+5),71.3
152,ウルフ(淫夢),66,11,21,0,173(+21),71.3
154,野獣母,35,6,139,1,144(-10),70.8
155,南佳也,38,1,78,13,46(-109),70.5
156,綱太,44,6,49,14,180(+24),70.3
157,ダーク食パンマン,51,13,60,4,159(+2),70
158,偽MUR,62,1,21,1,177(+19),68.3
159,短髪メガネ野郎(短髪モロ感野郎),41,12,107,0,142(-17),67.8
160,高校生君,66,18,6,0,178(+18),67.5
161,KBTIT_Jr,50,8,69,0,171(+10),67.3
162,真崎航,23,1,23,38,75(-87),66.8
163,乳首モロ感真面目部長,29,7,146,1,148(-15),66.5
164,ハンガリー舞曲兄貴,56,2,35,0,175(+11),64.8
165,KYN弟(AKNM),60,11,6,1,186(+21),62.5
166,4003勝の男,33,6,113,1,158(-8),62.3
167,ダンマー(淫夢),46,8,62,0,176(+9),61.5
168,ラブオイル校長,22,3,141,4,154(-14),61.3
168,中山幸一,50,4,33,3,194(+26),61.3
168,初心者のM,50,3,21,6,201(+33),61.3
171,修行兄貴,48,5,43,2,179(+8),60.8
172,ゆうま(淫夢),48,6,30,5,192(+20),60.5
172,失礼インタビュアー,44,3,66,0,193(+21),60.5
174,淫夢厨(淫夢),7,4,207,1,143(-31),59.8
175,奈義(COAT),56,0,5,0,134(-41),57.3
176,野獣大先輩,42,9,59,0,174(-2),56.8
177,ITI,37,9,66,2,170(-7),55.5
178,変面20でNKTIDKSGの後に出てくるやつ,46,19,33,1,195(+17),55.3
179,迫真先生,49,17,8,4,181(+2),55
179,豹変インタビュアー,37,1,72,0,New!!,55
181,ティーダ(淫夢),42,2,49,0,172(-9),54.3
182,大谷翔平(淫夢),18,3,137,0,New!!,52.3
183,まさよしくん,21,1,112,3,165(-18),52
184,大好き氏,14,1,146,1,169(-15),51.5
184,テングザル兄貴,26,5,98,1,185(+1),51.5
184,MRKM,35,11,50,4,190(+6),51.5
187,バレー青年,50,2,4,0,252(+65),51
188,ブルドックス,36,5,54,1,187(-1),50.5
188,ECZN,32,1,54,5,188(±0),50.5
190,島田兄弟,47,18,12,0,199(+9),50
191,ナイナイ岡村,33,1,30,9,200(+9),49.5
192,森林原人,39,1,32,2,110(-82),49
193,篤太郎さん,34,3,58,0,196(+3),48.5
194,バレーボールくん,42,2,20,1,209(+15),48
195,杰兄貴,41,2,26,0,206(+11),47.5
196,第三のいなり男,26,2,69,3,191(-5),46.3
197,NT(ニッタ),21,3,94,1,160(-37),45.5
197,野獣兄,22,6,70,6,183(-14),45.5
199,悶絶先生,43,3,8,0,184(-15),45
200,後ろの木みたいなやつ,37,1,31,0,220(+20),44.8
201,フィスト大魔王,31,1,37,4,212(+11),44.3
202,新宿調教センター,33,2,44,0,210(+8),44
203,KEN(淫夢),26,2,55,4,189(-14),43.8
203,魂魄妖夢(淫夢),37,4,15,3,244(+41),43.8
205,平野のどうぞという声にしか反応しない扉,16,1,110,0,168(-37),43.5
206,二千ドル男,33,3,12,6,205(-1),42
207,いまきた加藤,36,1,18,0,214(+7),40.5
208,MMR部長,17,2,67,6,216(+8),39.8
209,MTSMAPNMRKNNSKKR,12,3,99,2,198(-11),38.8
209,ネス(淫夢),34,3,19,0,222(+13),38.8
211,小柄メガネのウケ中年,26,3,50,0,213(+2),38.5
211,メガデス怪人,27,2,10,9,232(+21),38.5
213,宮永通世,31,6,17,3,241(+28),38.3
213,KJM,34,9,13,1,246(+33),38.3
213,AMFTTSFNDKTETNKTIBWMTKKKSJNSHF,8,2,121,0,271(+58),38.3
216,アクメルくん,9,4,38,19,217(+1),37.5
217,TBS(淫夢),37,8,0,0,262(+45),37
218,IWS,20,3,63,1,207(-11),36.8
218,だるま親爺,32,6,19,0,208(-10),36.8
220,佐久間良雄,28,3,6,7,352(+132),36.5
221,肉体派インタビュアー,28,2,32,0,211(-10),36
222,野獣姉,11,2,79,5,204(-18),35.8
222,嫉妬男,33,4,3,2,338(+116),35.8
224,草薙ケン,30,3,1,5,227(+3),35.3
225,INUE君,19,3,14,12,215(-10),34.5
225,ダミ声スタッフ,32,3,10,0,256(+31),34.5
227,アメリカン兄貴,31,4,9,1,234(+7),34.3
227,HMGC,32,6,9,0,250(+23),34.3
229,HGC,15,0,76,0,197(-32),34
230,おフェラ座の怪人,31,11,7,1,228(-2),33.8
230,副市長,29,0,15,1,247(+17),33.8
232,星(淫夢),22,7,37,2,226(-6),33.3
233,伸治,29,4,16,0,254(+21),33
233,ASH(淫夢),33,4,0,0,263(+30),33
235,でこっぱち君,11,0,87,0,202(-33),32.8
235,しゃがれ声,22,1,43,0,249(+14),32.8
237,アキラ(淫夢),30,10,9,0,265(+28),32.3
238,YMSK,20,11,39,2,225(-13),31.8
239,しんたろう,25,5,22,1,231(-8),31.5
239,野中玄太,27,3,2,4,467(+228),31.5
241,えいた(淫夢),20,2,45,0,233(-8),31.3
242,カンパニー松尾,30,0,0,1,New!!,31
243,IGRS,27,5,1,3,283(+40),30.3
243,ジェフリー・ダーマー(淫夢),13,3,69,0,New!!,30.3
245,横井警備員,26,0,15,0,240(-5),29.8
245,ポイズン菊池,21,3,19,4,245(±0),29.8
247,INUE,19,3,2,10,424(+177),29.5
248,木村和輝,28,0,1,1,219(-29),29.3
248,ゴーグル男,21,1,25,2,224(-24),29.3
248,しあわせ紳士,23,3,25,0,248(±0),29.3
251,カズレーザー(淫夢),21,6,31,0,253(+2),28.8
251,エレファントドアくん,25,1,15,0,266(+15),28.8
253,のび太(淫夢),16,4,50,0,136(-117),28.5
254,アーウェイ,26,1,5,1,412(+158),28.3
255,野獣弟,18,2,40,0,182(-73),28
255,こう(淫夢),22,1,16,2,259(+4),28
257,TTY,26,3,4,0,305(+48),27
258,NKI,17,1,7,8,318(+60),26.8
259,ISHR先生,21,2,12,1,275(+16),25
259,赤豚,16,0,4,8,298(+39),25
261,SUT(淫夢),20,1,19,0,268(+7),24.8
261,白豚,22,1,3,2,273(+12),24.8
263,茶髪チャラ男(AKNM),22,7,5,1,290(+27),24.3
264,万太郎,19,5,20,0,321(+57),24
265,江島隼人,23,1,3,0,329(+64),23.8
266,やりマン兄貴,21,3,10,0,261(-5),23.5
266,貴乃信,21,4,10,0,278(+12),23.5
268,ホモの兄ちゃん,9,0,57,0,238(-30),23.3
268,NOBUMASA(淫夢),22,0,5,0,291(+23),23.3
270,ドチンピラ,17,4,18,1,294(+24),22.5
271,ガン掘リア宮殿,19,0,13,0,293(+22),22.3
272,由利(淫夢),14,1,32,0,235(-37),22
273,優人(WEST),21,0,3,0,243(-30),21.8
273,礼二,19,2,11,0,279(+6),21.8
275,しみけん,7,0,18,10,167(-108),21.5
275,OZW,17,1,10,2,267(-8),21.5
275,KMR(野獣大先輩),16,4,22,0,287(+12),21.5
275,NITU,16,2,18,1,300(+25),21.5
275,バイト君,20,2,2,1,389(+114),21.5
280,イケボスタッフ,20,0,1,1,299(+19),21.3
280,18番(淫夢),19,1,9,0,302(+22),21.3
282,野獣従兄弟,20,5,4,0,264(-18),21
282,仁(ALMAZ),21,0,0,0,269(-13),21
284,義臣,19,3,3,1,317(+33),20.8
285,ついに発掘された男,13,4,30,0,221(-64),20.5
285,スティーブ・ジョブズ(淫夢),15,2,22,0,270(-15),20.5
287,レイザー(レスリングシリーズ),18,1,9,0,229(-58),20.3
287,ゴーグル先生,17,0,5,2,237(-50),20.3
289,拷問親父,19,0,3,0,257(-32),19.8
289,TMBK,18,4,3,1,276(-13),19.8
291,インラン親爺,12,2,30,0,277(-14),19.5
292,タカシィ,18,5,1,1,314(+22),19.3
292,孫悟空(淫夢),6,2,49,1,New!!,19.3
294,りゅうくん,16,1,8,1,281(-13),19
294,YUIC,18,0,4,0,333(+39),19
296,身体大気弱兄,17,12,7,0,319(+23),18.8
297,SNJ弟,14,3,10,2,308(+11),18.5
297,NT兄,15,0,2,3,315(+18),18.5
299,ピカチュウパンツ兄貴,12,5,21,1,239(-60),18.3
299,MRKMR,16,1,9,0,324(+25),18.3
299,TKUC,16,1,1,2,347(+48),18.3
299,AIZW,18,0,1,0,473(+174),18.3
303,池沼兄貴,11,1,28,0,288(-15),18
303,ズ・ゴオマ・グ(淫夢),13,1,16,1,342(+39),18
305,ゴロリ(淫夢),15,5,11,0,360(+55),17.8
306,松田陸,1,0,66,0,218(-88),17.5
306,i-modeタクヤ君,17,2,2,0,282(-24),17.5
306,ボンバーライオンさん,15,3,10,0,292(-14),17.5
306,院長(fatherless),13,0,18,0,340(+34),17.5
310,豊田力,16,1,3,0,359(+49),16.8
310,玉木修,16,1,3,0,330(+20),16.8
310,フィンランドハーフ兄貴,15,6,7,0,323(+13),16.8
310,座敷童子(淫夢),14,1,11,0,304(-6),16.8
314,ルイージ(淫夢),16,2,2,0,357(+43),16.5
315,爆弾岩くん,10,5,25,0,301(-14),16.3
316,櫻井翔(淫夢),14,2,7,0,260(-56),15.8
