順位,名前,動画,BB,レス,pixiv,検索,前回,得点
62,山崎まさゆき,130,7,285,9,7410,62,289
63,関東チャラ男,147,60,169,48,6760,90,286
64,OOESNR,164,19,223,4,6060,63,286
65,ケツデカ課長,149,13,232,14,15,58,279
66,テロップくん,208,37,86,12,12300,61,275
67,超人サイバーZ,132,22,169,50,5930,66,272
68,GTさん,214,7,93,2,3270,65,266
69,視聴できません(たると),14,1,498,1,532,70,265
70,軍畑先輩,117,13,244,15,7530,71,262
71,POPO,101,11,172,1,71600,84,260
72,KMRスタッフ,213,3,7,0,40000,97,257
73,OGMM,109,16,270,6,5100,69,255
74,TKGW,119,14,232,13,6720,74,255
75,閉廷おじさん,80,6,264,12,26600,57,251
76,観葉植物くん,126,7,110,67,2260,88,250
77,敏感ふとまら君,108,10,263,7,3540,73,250
78,健介,195,5,6,3,40500,78,242
79,北浦京子,54,4,333,9,2570,81,232
80,うま味紳士,71,2,166,72,5290,76,231
81,まひろ(淫夢),109,10,235,0,2980,83,229
82,ポルターガイストくん,78,6,286,5,2650,80,229
83,SGW,138,12,63,53,3200,85,226
84,SGCN(淫夢),15,1,402,2,2310,82,220
85,野獣父,134,10,147,8,4100,77,220
86,赤城武雄,130,6,23,67,4340,87,213
87,肉丸,116,25,154,3,2400,68,198
88,ホリ・トオル,113,15,123,14,5600,86,194
89,いなり男,157,17,40,12,4980,79,194
90,NSOK,111,24,113,20,2840,72,190
91,植木鉢くん,142,6,64,5,10200,94,189
92,HRNR(淫夢),171,39,31,1,1260,118,189
93,だいちくん,153,14,57,0,4520,92,186
94,昭和天皇(淫夢),95,13,170,3,2170,100,185
95,顔が変な人,71,23,199,6,7220,96,184
96,ポイテーロ,67,8,202,7,5060,91,180
97,一転攻勢(シャブ・ラサレータ),100,9,142,5,2470,93,178
98,Discovery10で野獣に掘られたやつ(淫夢),94,22,156,0,1380,105,173
99,SBR(白いの),73,24,141,0,24900,95,168
100,NRK,57,1,160,7,22900,104,167
101,コブラ三木谷,104,14,91,2,10800,101,162
102,糸引さおじさん,92,8,127,2,1510,89,159
103,EMT(淫夢),92,5,118,0,1630,107,153
104,豪俊影視,117,6,38,10,1610,98,148
105,DRVS,86,21,93,10,3580,103,146
106,TKNUC,64,11,108,19,7050,109,144
107,関東クレーマー,79,7,105,6,2130,110,140
108,OGRSYN,47,2,178,1,2030,106,139
109,AZにゃん,75,10,114,4,1380,108,137
110,クチマン爺,36,6,191,2,2260,102,136
111,ホスト風兄貴,88,3,89,0,3160,113,136
112,OKDYSNR,113,23,17,6,5880,116,133
113,タカダ キミヒコ,52,8,140,5,5910,112,133
114,マスクド永谷園,66,10,117,5,2830,99,132
115,筆使いのさとし,110,15,24,3,2180,122,127
116,ひでのオリキャラ,40,6,67,51,1780,114,126
117,手越祐也(淫夢),121,3,176,1,1680,,122
118,タチ中年,76,8,85,2,1400,115,122
119,MNR,36,6,135,11,2160,111,117
120,DKSGNKTI,98,28,22,1,2850,119,113
121,SIY,87,17,17,9,6830,125,111
122,竜門漏豆亭(淫夢),48,5,114,4,857,120,110
123,金泰均(COAT),46,8,124,0,1370,117,109
124,TRN,41,7,89,10,11200,131,107
125,イニ義893,41,5,114,6,2690,124,107
126,野獣母,37,5,129,2,3020,126,107
127,イカせ隊,65,12,59,0,9380,133,104
128,乳首モロ感真面目部長,33,5,126,0,5770,132,102
129,ITI,40,12,64,0,27800,129,100
130,SKBNK,62,14,66,1,2390,130,98
131,征矢,77,8,29,0,5930,140,97
132,こぐま部長,60,15,69,0,2540,127,97
133,強精コンビ,84,10,20,0,2080,146,96
134,MYN,46,8,61,7,12400,134,96
135,ラブオイル校長,24,3,131,2,2400,128,94
136,クラウド(淫夢),55,9,68,2,2040,136,93
137,ZUN(淫夢),70,11,37,1,3520,144,93
138,ペルーチア・ラピスラズリ(淫夢),68,8,45,0,2470,138,93
139,真崎航,22,0,22,5,52700,123,91
140,還暦の巨根オヤジ,40,1,96,1,850,135,90
141,短髪メガネ野郎(短髪モロ感野郎),41,13,93,0,601,137,88
142,ミスターマラ菊,79,6,9,0,1360,145,85
143,4003勝の男,33,7,96,1,2070,141,84
144,つとむ,49,5,52,0,7500,139,83
145,偽MUR,68,1,20,0,3660,142,82
146,テラドン,54,14,45,0,1590,166,78
147,KBTIT_Jr,47,1,58,0,1170,165,77
148,奈義(COAT),68,0,5,4,2220,148,77
149,綱太,54,7,33,0,4210,157,75
150,変態郵便屋,54,5,27,6,857,143,74
151,まさよしくん,20,1,104,0,1570,147,74
152,ウルフ(淫夢),64,10,18,0,384,160,73
153,浣腸芸人,41,12,52,1,1170,151,69
154,ECZN,36,2,48,5,2490,154,67
155,大好き氏,12,1,104,0,2730,150,67
156,ハンガリー舞曲兄貴,53,3,23,0,726,149,65
157,ダンマー(淫夢),38,9,49,0,1370,153,64
158,高校生君,60,17,3,0,1950,182,63
159,KYN弟(AKNM),59,11,6,1,233,155,63
160,MRKM,36,11,48,1,1810,152,63
161,中山幸一,49,4,25,0,1120,164,63
162,野獣兄,20,5,67,4,4670,158,62
163,突如20でNKTIDKSGの横に出てくるやつ,45,25,25,2,2050,161,62
164,野獣大先輩,34,8,41,0,6660,163,61
165,Toraemon,33,4,51,0,1640,206,60
166,ティーダ(淫夢),37,2,44,0,907,194,60
167,NT(ニッタ),14,3,89,1,202,159,60
168,野獣姉,12,4,76,3,4790,156,58
169,IWS,19,5,60,1,7160,172,57
170,島田兄弟,49,20,12,0,852,167,56
171,でこっぱち君,10,0,87,0,822,168,54
172,森林原人,36,0,24,0,5680,207,54
173,篤太郎さん,29,3,47,0,543,174,53
174,第三のいなり男,23,2,53,1,2200,175,53
175,フィスト大魔王,31,1,35,2,1910,169,52
176,TTY,15,3,4,0,35200,241,52
177,佐野恵太,12,7,70,0,4970,183,52
178,テングザル兄貴,19,4,56,2,2940,162,52
179,失礼インタビュアー,40,3,22,0,706,170,52
180,HGC,6,0,70,0,10100,185,51
181,KEN(淫夢),23,1,51,1,1080,176,51
182,ナイナイ岡村,30,2,21,7,1940,171,49
183,バレーボールくん,35,3,20,1,1410,173,47
184,ゆうま(淫夢),34,7,16,3,962,188,46
185,しゃがれ声,25,2,39,0,1390,199,46
186,MTSMAPNMRKNNSKKR,8,3,69,0,1600,190,44
187,野獣弟,20,2,40,1,2920,180,44
188,二千ドル男,32,4,11,5,1070,187,44
189,小柄メガネのウケ中年,21,3,43,0,971,178,43
190,アクメルくん,11,3,35,14,877,179,43
191,しみけん,24,0,17,3,7600,121,43
192,バルカン大先輩(アルピー高見沢),39,11,7,0,498,202,43
193,KJM,29,8,13,1,6440,184,43
194,ホモの兄ちゃん,8,1,54,0,7670,204,43
195,おフェラ座の怪人,38,12,6,0,1560,181,43
196,悶絶先生,37,1,8,0,1330,189,42
197,ピカチュウパンツ兄貴,32,5,16,1,1130,212,42
198,肉体派インタビュアー,25,3,30,0,1510,193,42
199,MMR部長,8,2,63,0,574,191,40
200,副市長,31,2,13,0,2150,196,40
201,杰兄貴,25,3,26,0,1440,192,39
202,迫真先生,32,14,6,0,2890,198,38
203,ブルドックス,12,3,45,1,1950,197,37
204,YMSK,19,11,31,0,2190,208,37
205,しあわせ紳士,23,4,23,0,2070,205,37
206,いまきた加藤,27,1,14,0,1870,213,36
207,ゴーグル男,22,1,25,0,970,203,35
208,椅子くん,21,1,23,0,2260,177,35
209,アメリカン兄貴,29,4,8,0,1460,229,34
210,カズレーザー(淫夢),19,5,19,0,5760,227,34
211,ネス(淫夢),26,2,15,0,744,209,34
212,後ろの木みたいなやつ,24,1,19,0,239,224,34
213,草薙ケン,24,3,1,5,3960,216,33
214,INUE君,21,3,13,4,1740,186,33
215,魂魄妖夢(淫夢),31,3,9,2,934,,33
216,アキラ(淫夢),29,10,6,0,754,211,33
217,ダミ声スタッフ,28,1,7,0,780,245,32
218,こう(淫夢),23,2,13,2,758,238,32
219,18番(淫夢),16,1,6,0,13000,262,32
220,サムソン高橋,2,0,2,0,28300,218,31
221,HMGC,26,4,5,0,2740,232,31
222,横井警備員,24,0,11,0,1630,210,31
223,宮永通世,22,7,12,1,1560,220,31
224,スティーブ・ジョブズ(淫夢),19,4,19,0,1860,217,30
225,IGRS,28,5,1,0,1800,215,30
226,NITU,12,2,15,1,9780,260,30
227,初心者のM,28,1,6,2,4150,,30
228,白豚,28,2,0,2,8220,,30
229,SUT(淫夢),21,1,17,0,461,219,30
230,ついに発掘された男,15,4,26,0,1920,214,30
231,礼二,22,1,8,0,3770,239,30
232,しんたろう,21,3,13,0,2110,230,30
233,だるま親爺,18,3,17,0,2350,201,29
234,ISHR先生,21,1,10,1,1840,222,29
235,OZW,19,1,8,0,5110,234,28
236,由利(淫夢),12,1,31,0,460,235,28
237,松田陸,1,0,44,4,495,200,27
238,インラン親爺,12,3,26,0,1270,223,26
239,木村和輝,24,0,1,1,684,233,26
240,南佳也,25,5,16,1,13900,,26
241,修行兄貴,12,3,25,0,1440,226,26
242,りゅうくん,19,1,7,0,3440,236,26
243,やりマン兄貴,19,5,10,0,1760,228,26
244,茶髪チャラ男(AKNM),22,5,5,0,916,225,25
245,メガデス怪人,13,2,6,8,1360,244,25
246,SKGC,19,7,9,0,1360,243,25
247,星(淫夢),19,8,9,0,1260,253,25
248,のび太(淫夢),13,5,23,0,185,268,25
249,文吾,20,2,3,0,2910,247,24
250,貴乃信,22,4,3,0,219,255,24
251,優人(WEST),22,0,3,0,124,237,24
252,NOBUMASA(淫夢),21,1,4,0,358,258,23
253,ドチンピラ,17,7,9,0,1500,242,23
254,伸治,16,4,8,0,2790,231,23
255,爆弾岩くん,10,5,23,0,648,240,22
256,ガン掘りア宮殿,16,0,11,0,503,249,22
257,TBS(淫夢),22,6,0,0,255,,22
258,ASH(淫夢),22,4,0,0,103,,22
259,KMR(野獣大先輩),12,4,18,0,915,252,22
260,TMNG,7,0,27,0,1380,246,22
261,二軍淫夢のエース,14,3,14,0,665,257,22
262,昭和天皇の御学友(淫夢),21,8,9,0,1400,,21
263,小森(ゴミ漁りの達人),13,1,11,2,477,259,21
264,タカシィ,19,5,1,0,792,251,20
265,NT兄,16,0,2,2,1110,264,20
266,池沼兄貴,8,1,21,0,1210,221,20
267,義臣,17,0,2,0,1680,267,20
268,KBT,9,1,2,0,9490,329,19
269,NKI,14,1,4,0,3430,263,19
270,BROS.,8,0,2,0,10300,351,19
271,櫻井翔(淫夢),16,2,6,0,294,266,19
272,YUIC,17,0,2,0,1020,273,19
273,レイザース(スリングシリーズ),14,1,5,0,2080,289,19
274,院長(fatherless),13,0,10,0,131,277,18
275,イケボスタッフ,16,0,0,0,2090,350,18
276,SNJ弟,12,2,10,0,1050,265,18
277,ホワイトマン,18,1,0,0,2870,,18
278,GONTA,11,5,6,0,3680,275,18
279,ボンバーライオンさん,13,1,8,0,484,271,17
280,万太郎,12,4,5,0,2720,269,17
281,ポイズン菊池,11,2,12,0,113,283,17
282,モザイク姉貴,8,1,15,1,503,256,17
283,豊田力,15,1,3,0,231,299,17
284,ホモビ戦士,5,0,22,0,595,290,17
285,蟲戦士ヘルワーム,5,0,15,1,3080,254,17
286,TDN弟,8,2,6,1,4330,311,16
287,マジメ君のライバル(SP),15,9,2,0,154,274,16
288,野獣従兄弟,16,5,2,0,4030,,16
289,フィンランドハーフ兄貴,13,5,4,0,756,282,16
290,TKNUC,14,1,1,0,1250,288,16
291,ART(淫夢),10,3,10,0,618,280,16
292,櫂(ALMAZ),14,0,1,1,106,287,16
293,嫉妬男,13,4,3,0,961,250,15
294,ハヤト先輩,11,2,5,1,885,337,15
295,モルダー(淫夢),14,4,2,0,121,276,15
296,MRKMR,10,0,9,0,125,272,15
297,ヒデ(筋肉黄金期),13,0,2,0,306,291,14
298,鈴木実,12,0,3,0,694,279,14
299,ソーナノ(淫夢),9,1,10,0,184,309,14
300,赤豚,11,0,0,3,4020,,14
301,スカイフィッシュくん,10,2,5,0,1410,324,14
302,すごい高くて日本じゃ手に入らないハフ,9,1,7,0,1250,286,14
303,ウェスカー(淫夢),12,1,3,0,144,284,14
304,ズ・ゴオマ・グ(淫夢),7,1,13,0,111,285,14
305,近藤P,11,0,4,0,278,300,13
306,山本竜二,12,0,2,0,259,319,13
307,ピポサルくん,10,1,4,0,1210,297,13
308,TMBK,12,5,2,0,167,295,13
309,北関東チャラ男,8,1,5,1,1340,317,13
310,しょうごちゃん,5,1,9,1,2210,281,13
311,権藤剛,10,0,3,0,1130,332,13
312,虎寅,4,0,5,0,6120,340,13
313,無らい,11,1,2,0,529,298,13
314,極道兄貴,7,2,7,0,1830,292,12
315,源氏ハイ(淫夢),7,1,10,0,172,327,12
316,小雪(淫夢),6,0,10,0,1170,328,12
317,YKB,2,0,10,1,4010,354,12
318,座敷童子(淫夢),12,1,0,0,30,,12
319,ゴーグル先生,11,1,0,1,966,,12
320,三又又三(淫夢),8,0,3,0,2100,314,12
321,近藤靖浩,10,0,2,0,573,325,12
322,PC66でNKTIDKSGの後に出てくるやつ,5,2,9,0,2000,313,12
323,中田(淫夢),10,0,2,0,486,343,11
324,TNKDISK,10,0,2,0,266,306,11
325,野獣保健医,6,0,3,0,3740,338,11
326,アーウェイ,9,0,4,0,131,316,11
327,仁(ALMAZ),11,0,0,0,72,303,11
328,エレファントドアくん,11,1,0,0,105,,11
329,渉(淫夢),9,1,3,0,213,307,11
330,優雅(淫夢),9,0,3,0,163,308,11
331,偽軍畑先輩,9,1,1,0,1150,312,11
332,体育教師(淫夢),9,1,3,0,63,304,11
333,商店主,5,0,4,2,1470,320,10
334,スタッフ中井,9,2,2,0,314,301,10
335,K2兄貴,10,0,0,0,211,321,10
336,たるとのオリキャラ,2,0,12,1,1140,305,10
337,OOHT,9,0,2,1,1240,,10
338,DRVS弟,8,2,1,0,1300,353,10
339,MEGWIN(淫夢),6,0,5,0,1290,330,10
340,TKZW,9,1,0,0,708,323,10
341,変態親父,1,0,5,0,6200,261,10
342,田中(迫真先生),9,4,0,0,695,331,10
343,IS1君,7,2,1,0,2170,336,10
344,道隆(淫夢),7,0,1,2,169,386,10
345,SRIKNZU(鎮念),7,2,5,0,161,318,10
346,KGR,3,0,0,0,6630,368,10
347,凛汰,7,0,2,0,1450,374,9
348,ヨシヒコ(SP),6,0,0,0,3440,367,9
349,砂時計君,9,2,0,0,432,341,9
350,イケボ親父,3,0,8,0,2380,334,9
351,佐久間良雄,7,0,2,1,339,270,9
352,堀川雷鼓(淫夢),7,1,4,0,184,362,9
353,ファンキー遠野,6,2,4,0,1180,302,9
354,RYO(淫夢),9,0,0,0,156,358,9
355,身体大気弱兄,8,3,2,0,143,387,9
356,藤井聡太(淫夢),2,0,14,0,96,345,9
357,MSW(淫夢),9,0,0,0,91,322,9
358,極道熊,7,2,3,0,489,326,9
359,YSKN,7,2,1,0,1460,355,9
360,久保帯人(淫夢),4,0,9,0,435,376,9
361,オナニー男,3,1,1,0,5270,412,9
362,YNG(淫夢),8,0,1,0,139,361,9
363,坂本副機長,8,1,1,0,118,363,9
364,日本男児兄貴,6,2,2,0,1590,349,9
365,メガデス戦闘員,5,3,0,3,457,310,8
366,ウルトラ巨根課長,4,2,8,0,411,294,8
367,真彦(SP),7,5,1,0,806,347,8
368,ガチデブ系の男,6,1,4,0,218,315,8
369,教頭(淫夢),7,0,2,0,200,342,8
370,GOSEIRED,6,0,1,0,1600,339,8
371,植(淫夢),7,0,2,0,91,344,8
372,ユウスケ(淫夢),7,0,2,0,56,352,8
373,サザンクロス君,6,0,1,0,1370,357,8
374,OKB君,4,0,7,0,287,372,8
375,ドレミーセーター,4,1,7,0,251,335,8
376,野獣叔父,3,0,2,0,3580,416,8
377,ロバートAKYM,4,0,4,0,1540,383,8
378,AKYSの秋元才加ファンだとバレてクビになった時の甲高い声,2,0,10,0,284,356,7
379,ワッキー(結手紙のかいがっしり),6,1,2,0,163,359,7
380,ノブアキ(トランペッター),7,1,0,0,69,,7
381,バイト君,5,2,2,0,922,293,7
382,山本(畑真先生),5,0,2,0,793,389,7
383,ユウ君,1,0,0,0,5790,278,7
384,灼熱君,5,0,2,0,767,365,7
385,クインテットアキラ,4,1,2,0,1750,248,7
386,モーモーパンツ兄貴,5,0,3,0,195,393,7
387,野中玄太,5,0,1,0,1180,333,7
388,KTYM,6,1,0,0,678,364,7
389,谷(淫夢),6,0,1,0,176,373,7
390,どんちゃん(淫夢),6,0,1,0,161,378,7
391,偽遠野,4,1,2,0,1540,348,7
392,野獣社員,1,0,3,0,4010,428,7
393,プリケツブラザーズ,4,1,4,0,301,371,6
394,INUE,5,0,1,0,789,195,6
395,吉川シケタ,5,0,1,0,672,397,6
396,哲(キックボクサー),5,0,2,0,107,379,6
397,18才童貞君,5,1,2,0,10,360,6
398,OSD,6,0,0,0,7330,,6
399,NKTIDDKSG,6,0,1,0,1010,,6
400,アラブ系スイマー兄貴,4,2,1,0,1430,388,6
401,元祖野獣,1,0,4,0,2930,418,6
402,ねこちるの校長,1,0,7,0,1260,395,6
403,花澤香菜(淫夢),4,1,3,0,233,366,6
404,手錠男,5,0,0,0,733,377,6
405,隆(淫夢),5,0,1,0,174,391,6
406,FJNM,5,0,0,0,663,381,6
407,TKY(淫夢),3,0,3,1,154,296,6
408,MTMTKY(淫夢),2,1,7,0,147,437,6
409,飯田ショーフキン,4,0,3,0,117,415,6
410,横原ゴリジュニア,5,0,1,0,107,380,6
411,イグニス(淫夢),2,0,7,0,84,406,6
412,ネアンデルタール,1,0,4,0,2420,382,5
413,DB亜種,4,1,1,0,791,400,5
414,長井大,5,0,0,0,214,384,5
415,YSDKN,2,1,1,0,2640,431,5
416,KMD,4,0,2,0,115,385,5
417,傘くん,4,0,2,0,96,370,5
418,ひで(46),2,0,6,0,42,409,5
419,あらた(淫夢),2,0,6,0,41,392,5
420,マッチョの弟の兄貴,3,0,3,0,539,369,5
421,でかちん父さん,5,0,0,0,355,,5
422,クラウド(COAT),2,0,0,0,2950,444,5
423,二言でDRVSのスカウトを断った奴,1,1,7,0,305,375,5
424,加納コーチ,4,1,0,0,722,401,5
425,硝子君,3,0,2,0,704,399,5
426,ペガサスSIY,3,1,3,0,110,394,5
427,TDN弟の周りを飛ぶ大きめの虫くん,3,1,3,0,99,446,5
428,黄色パーカー君,3,0,1,0,1060,390,5
429,純情スーツ兄貴,3,0,1,0,1050,408,5
430,ケンジィ,4,0,0,0,519,420,5
431,イアン(淫夢),4,2,1,0,10,398,5
432,横井ルイ,4,0,0,0,496,403,4
433,MUR父,3,0,2,0,409,402,4
434,佐藤翔太,4,0,0,0,374,405,4
435,タカノリ(SP),3,0,1,0,715,433,4
436,ディッシュ割り命の男っぽい副委員君,2,1,4,0,137,407,4
437,吉永透(SP),1,1,4,0,1120,426,4
438,星の仲間,1,0,6,0,68,396,4
439,佐々木主任,4,0,0,0,474,,4
440,偽茶髪チャラ男,4,1,1,0,714,,4
441,小籔千豊,4,0,0,0,29,,4
442,石川(淫夢),3,1,1,0,475,410,4
443,石川太陽,2,0,1,0,1280,443,4
444,望月輝,3,0,0,0,759,404,4
445,宮野真守(淫夢),2,0,3,0,215,461,4
446,超あきら,2,2,1,0,1190,430,4
447,羽生結弦(淫夢),2,0,3,0,134,460,4
448,ヤマネ(淫夢),3,0,1,0,126,411,4
449,gejir@,3,0,1,0,103,414,4
450,爽やか若リーマン君,2,0,2,0,578,432,4
451,KWBT(淫夢),3,2,1,0,61,413,4
452,AIZW,3,0,1,0,41,423,4
453,MSKW,2,0,1,0,1030,419,4
454,星条旗兄貴,1,0,3,0,1020,464,4
455,DJ兄貴,3,2,1,0,10,424,4
456,OCBGC,2,0,2,0,474,425,3
457,こんなラブそうな男の子,1,0,3,0,934,427,3
458,幻の15人目,0,0,4,0,1370,449,3
459,八神蒼介,2,0,2,0,328,417,3
460,色違いネクデカパンツ兄貴,1,0,2,0,1130,436,3
461,PC59メインモデル,2,1,1,0,611,439,3
462,偽KMR,3,1,1,0,966,,3
463,MRSK,2,0,0,0,822,438,3
464,炎獣魔神,2,0,0,0,791,434,3
465,通過一般人兄貴,1,1,3,0,263,429,3
466,ローライズ君,1,0,0,0,1700,422,3
467,偽AKYS,1,0,1,0,1190,447,3
468,オモチャ大好きサーファーBOY,2,2,0,0,634,441,3
469,津田君,1,0,3,0,97,448,3
470,ボンバーARKW,2,0,0,0,549,466,3
471,山本優心,2,0,0,0,332,442,2
472,通過一般自転車兄貴,1,1,2,0,306,451,2
473,吉永透のストーカー,1,0,1,0,740,455,2
474,金子君,2,0,0,0,171,440,2
475,MUR兄,1,0,2,0,128,421,2
476,雄生(COAT),2,0,0,0,104,465,2
477,勇武(COAT),2,0,0,0,96,445,2
478,バイトの人,1,1,2,0,21,346,2
479,INUEの同級生,2,0,0,0,10,435,2
480,クレヨンしんちゃんの風間くん(淫夢),2,1,2,0,96,,2
481,今どきのドレッドくん,1,1,1,0,107,453,2
482,グラサン男(SP),1,0,1,0,88,456,2
483,KMR(野獣叔父),1,0,1,0,87,452,2
484,ガテン系子持ち兄貴,1,0,0,0,582,457,2
485,YKYM(KNJN∞),1,0,1,0,52,454,2
486,野生派ハンサム青年達彦,1,0,0,0,482,468,1
487,TEPPEI(COAT),1,0,0,0,146,462,1
488,誠司(COAT),1,0,0,0,145,463,1
489,覗かれたMの部屋の覗いてくるやつ,0,0,2,0,77,470,1
490,メガデス白衣戦闘員,0,0,2,0,77,471,1
491,清田(淫夢),1,0,0,0,74,469,1
492,QPちゃん,1,0,0,0,70,476,1
493,KENTO(COAT),1,0,0,0,31,458,1
494,橋本拓哉,1,0,0,0,27,459,1
495,四人目の患者,1,0,0,0,10,450,1
496,辰巳(淫夢),1,0,0,0,34,,1
497,Masuo TV(淫夢),1,1,2,0,9,,1
498,赤色コート君,0,0,0,0,992,467,1
499,鈴木ツトム,0,0,1,0,466,478,1
500,アキオ(SP),0,0,1,0,287,477,1
501,ユウジさん,0,0,0,0,713,475,1
502,山崎(SP),0,0,1,0,59,473,1
503,なぎさ弐(ピース太郎),0,0,1,0,32,472,1
504,遥亮(COAT),0,0,1,0,9,474,1
505,MSOさん,0,0,0,0,16,,0
506,HYDIN,0,0,0,0,47,,0
507,修復後のキリスト,0,0,0,0,842,,0
