順位,名前,動画,BB,レス,pixiv,検索,前回,得点
1,野獣先輩,16408,2814,4517,2822,6230000,1,27719
2,KBTIT,5491,673,15347,827,553000,2,14545
3,ひで(淫夢),1544,209,4377,306,177000,3,4216
4,MUR,2408,350,1385,472,85700,5,3658
5,ゆうさく,2064,111,889,47,778000,4,3334
6,西寺郷太,1322,71,2927,36,194000,6,3016
7,淫夢くん,1200,104,1386,494,94500,7,2482
8,虐待おじさん,1354,167,1509,274,91200,8,2474
9,TDN,1238,55,1543,267,149000,10,2426
10,KMR,1449,195,885,236,280000,12,2408
11,AKNM,1327,303,1773,16,90500,11,2320
12,NKTIDKSG,1648,200,1109,43,27100,13,2273
13,ガバ穴ダディー,1365,109,1052,77,274000,15,2242
14,現場監督,767,108,2494,34,18400,14,2066
15,遠野(淫夢),1293,217,836,137,96100,17,1944
16,ONDISK,532,34,2231,22,109000,16,1779
17,平野源五郎,823,74,1387,140,66100,19,1723
18,GO(淫夢),812,143,968,153,154000,9,1603
19,マジメ君,1146,212,759,43,17300,18,1586
20,TNOK,813,69,511,240,238000,20,1547
21,関西クレーマー,815,36,980,98,27200,22,1430
22,うんち提案おじさん,184,18,2251,38,82410,21,1430
23,SNJ,1006,83,535,102,9970,23,1385
24,ピンキー姉貴,776,80,659,71,17900,27,1194
25,課長こわれる,651,25,862,31,22500,25,1136
26,肉体派おじゃる丸,686,103,665,56,20500,29,1095
27,バットマン(淫夢),876,43,189,10,6040,30,987
28,AKYS,455,82,931,56,9700,28,986
29,ドラゴン田中,519,54,727,58,30400,24,971
30,77歳の阿部モロ越の親爺,561,216,735,27,10300,32,966
31,武田信玄(淫夢),656,28,573,10,7270,31,960
32,オークション男,640,13,525,18,15600,33,936
33,じゅんぺい,279,27,1040,5,5430,36,809
34,淫乱テディベア,433,12,362,42,148000,26,804
35,視聴できません(INUEコーチ),30,6,1483,2,3750,35,777
36,チョコボール向井,528,35,57,0,161000,51,718
37,KYN,306,41,571,64,58200,38,714
38,YTR☆,358,18,614,14,31100,34,710
39,AOK,501,11,317,14,20300,37,694
40,ハガー市長(淫夢),442,23,397,22,3620,39,666
41,大島薫,30,0,297,23,462000,40,664
42,KBSトリオ,281,16,446,93,8460,41,605
43,ヒゲクマ調教師,237,37,606,35,7730,43,583
44,島田部長,246,26,591,5,8950,75,555
45,鈴木(淫夢),484,34,33,0,5960,67,506
46,DB(淫夢),171,52,275,165,8000,42,482
47,HTN,159,24,452,44,46300,46,475
48,第二のいなり男,321,19,201,41,4810,45,467
49,TRSM,10,4,852,0,10700,47,447
50,剛竜馬,231,31,232,15,40400,48,402
51,中野くん(淫夢),158,16,381,43,8290,44,400
52,HND△,243,16,198,46,6940,50,395
53,野獣邸,135,12,413,16,29900,60,387
54,一般通過爺,161,31,296,33,32300,49,374
55,セミ兄貴,180,6,257,26,6430,53,341
56,クルルァ,150,22,183,51,34600,52,327
57,我修院(淫夢),141,25,363,1,1220,54,325
58,ポモコップ,247,30,96,12,6060,55,313
59,激ハメじいちゃん,210,110,192,2,4800,56,313
60,関西チャラ男,146,28,224,26,13000,64,297
61,KN(淫夢),225,14,129,1,1680,59,292
