順位,名前,動画,レス,pixiv,検索,前回,得点
1,野獣先輩,10637,4363,3164,1460000,1,15995
2,KBTIT,1285,3036,834,292000,3,4976
3,変態糞親父,1898,2632,207,130000,2,3826
4,ひで(淫夢),1039,3326,75,318000,4,3373
5,ゆうさく,2119,834,114,79400,6,3012
6,淫夢くん,1169,1343,636,105000,8,2683
7,MUR,1253,1124,523,153000,9,2634
8,TDN,1158,1381,262,168000,5,2618
9,西寺郷太,721,2629,27,19900,7,2476
10,虐待おじさん,1003,1274,308,55500,10,2012
11,KMR,821,748,233,86700,11,1515
12,現場監督,526,1743,31,40300,13,1469
13,GO(淫夢),467,818,338,200000,14,1414
14,遠野(淫夢),765,740,217,14300,12,1366
15,SNJ,862,445,186,23900,16,1294
16,うんち提案おじさん,161,2016,65,13100,15,1247
17,TNOK,621,422,260,68900,17,1161
18,ガバ穴ダディー,757,623,56,27800,23,1152
19,マジメ君,770,579,18,43200,19,1121
20,平野源五郎,439,1061,95,35000,20,1100
21,ONDISK,367,1233,21,31600,18,1036
22,関西クレーマー,464,827,87,27300,25,992
23,バットマン(淫夢),861,162,26,8040,43,976
24,ドラゴン田中,452,653,92,42200,21,913
25,課長こわれる,469,673,76,18100,22,900
26,ピンキー姉貴,374,551,160,85200,31,895
27,AKNM,602,443,23,20900,28,867
28,淫乱テディベア,457,316,98,46500,24,760
29,INUEコーチ,26,1421,2,7040,,746
30,AKYS,291,618,58,59200,30,717
31,KYN,283,499,83,24800,27,640
32,ハガー市長(淫夢),371,374,36,28700,133,623
33,じゅんぺい,161,813,13,38000,33,619
34,HTN,220,428,73,38200,32,545
35,YOU_THE_ROCK★,251,500,14,17300,26,532
36,KBSトリオ,210,396,103,16900,34,528
37,DB(淫夢),86,227,269,53700,29,522
38,ヒゲクマ調教師,153,541,45,15000,35,484
39,TRSM,9,849,0,7290,36,441
40,77歳の肛門モロ感の親爺,229,261,21,8060,63,389
41,剛竜馬,210,179,20,45800,38,365
42,中野くん(淫夢),112,337,55,25100,37,361
