順位,名前,動画,レス,pixiv,検索,前回,得点
43,肉体派おじゃる丸,152,288,32,31900,52,360
44,NKTIDKSG,226,109,3,18500,164,302
45,一般通過爺,127,231,38,16500,41,297
46,クルルァ,132,148,60,30700,,297
47,敏感ふとまら君,165,214,10,10100,40,292
48,ホモコップ,200,77,20,8890,50,267
49,OGMM,86,223,17,48600,54,263
50,山崎まさゆき,126,243,11,1160,44,260
51,たると(淫夢),18,454,7,3840,42,256
52,超人サイバーZ,115,151,51,10100,49,252
53,HND△,121,176,26,10200,45,245
54,テロップくん,214,34,6,7380,104,244
55,うま味紳士,58,156,90,18200,48,244
56,AOK,75,292,13,6800,47,241
57,セミ兄貴,85,231,21,16100,39,238
58,第二のいなり男,179,50,29,4290,,237
59,我修院(淫夢),49,299,23,12200,51,234
60,軍畑先輩,92,194,22,22100,60,233
61,関西チャラ男,92,189,33,5430,56,225
62,SGCN(淫夢),26,383,2,4790,46,224
63,ケツデカ課長,104,175,15,17100,55,224
64,北浦京子,48,297,12,3420,53,212
65,まひろ(淫夢),58,204,6,42500,59,209
66,大島薫,9,229,80,4070,,208
67,野獣父,114,135,12,8620,58,202
68,閉廷おじさん,65,213,12,17900,,201
69,激ハメ爺ちゃん,123,137,4,339,79,196
70,POPO,103,144,2,15100,61,192
71,ホリ・トオル,91,106,13,35000,67,192
72,SGW,103,62,34,15400,57,183
73,TKGW,56,192,16,10600,65,179
74,ポイテーロ,61,167,17,16000,64,178
75,KMRスタッフ,171,4,0,2560,149,176
76,NSOK,89,98,21,9790,62,169
77,赤城武雄,104,10,51,2330,97,162
78,ポルターガイストくん,53,187,5,8490,76,160
79,NRK,77,146,4,5420,69,159
80,島田部長,105,77,5,10900,78,159
81,EMT(淫夢),93,105,3,9670,66,158
82,しみけん,142,1,4,7390,,154
83,だいちくん,114,42,2,10700,137,148
84,一転攻勢(シャブラサレータ),81,112,7,3180,71,147
85,DRVS,73,72,23,11600,70,144
86,AZにゃん,69,106,8,10300,73,140
87,肉丸,70,104,6,9690,68,138
88,クチマン爺,28,175,11,4670,74,131
89,OGRSYN,44,141,5,11400,77,131
90,TKNUC,55,91,17,12200,72,130
91,タカダキミヒコ,50,122,6,7850,75,125
92,白いの(淫夢),60,83,5,16700,83,123
93,NT(ニッタ),15,82,1,62300,89,119
94,ひでのオリキャラ,33,56,49,4670,85,115
95,関東クレーマー,64,84,2,6260,87,114
96,MNR,47,107,6,6140,80,113
97,タチ中年,72,56,6,5080,86,111
98,観葉植物くん,39,95,16,7520,82,110
99,植木鉢くん,72,50,6,6390,88,109
100,コブラ三木谷,70,62,0,4300,90,105
101,いなり男,57,15,30,8870,157,103
102,マスクド永谷園,43,82,6,9780,92,100
103,金泰均(COAT),36,103,10,574,84,98
104,OKDYSNR,81,16,1,4530,99,95
105,SIY,75,13,7,4400,94,93
106,MYN,50,56,10,3430,91,91
107,野獣母,27,115,0,5300,95,90
108,関東チャラ男,42,84,1,1650,96,87
109,つとむ,40,42,1,23600,117,86
110,乳首モロ感真面目部長,28,103,0,2750,98,82
111,ラブオイル校長,15,116,1,7020,81,81
112,TRN,33,75,7,3240,93,81
113,ITI,39,59,2,9810,103,80
114,武田信玄(淫夢),32,80,0,1730,121,74
115,短髪メガネ野郎(短髪モロ感野郎),34,71,1,2020,109,73
116,イカせ隊,46,47,0,2820,105,72
117,まさよしくん,19,100,1,2230,101,72
118,真崎航,19,18,41,2020,,71
119,イニ義893,23,81,5,1220,111,70
120,MMR部長,19,54,10,11400,106,67
121,MRKM,40,45,1,2390,113,66
122,GTさん,26,64,3,3240,110,64
123,クラウド(淫夢),45,35,0,1310,123,64
124,奈義(COAT),52,3,7,2390,,63
125,筆使いのさとし,58,2,1,2430,,62
126,野獣兄,24,61,4,2590,108,61
127,ECZN,30,42,5,2560,112,59
128,KBTIT_Jr,33,48,0,472,129,57
129,4003勝の男,18,75,0,1200,118,57
130,こぐま部長,44,20,0,2590,148,57
131,野獣姉,16,68,0,4960,116,55
132,二千ドル男,39,11,6,762,119,51
133,フィスト大魔王,30,28,4,3240,,51
134,IWS,16,57,4,2680,125,51
135,KYN弟(AKNM),47,4,1,418,165,50
136,でこっぱち君,8,83,0,776,,50
137,椅子くん,33,28,0,3190,122,50
138,変態郵便屋,29,20,6,4430,120,49
139,島田兄弟,42,12,0,674,124,49
140,KEN(淫夢),23,48,0,189,107,47
141,浣腸芸人,22,39,1,1880,140,44
142,アクメルくん,13,32,14,1040,134,44
143,樋口黎,8,66,0,2930,126,44
144,INUE君,23,11,12,2010,100,43
145,おフェラ座の怪人,38,3,1,1700,139,42
146,野獣弟,20,37,0,1640,135,40
147,KJM,32,11,1,1570,150,40
148,ブルドックス,17,39,1,2360,127,40
149,KN(淫夢),15,49,0,163,132,40
150,しゃがれ声,21,33,0,1300,131,39
151,篤太郎さん,23,28,0,1610,138,39
152,変面20でNKTIDKSGの後に出てくるやつ,34,7,0,829,,38
153,ミスターマラ菊,35,5,0,605,147,38
154,ホモの兄ちゃん,11,51,1,118,115,38
155,チョコボール向井,22,8,7,4470,,37
156,小柄メガネのウケ中年,21,28,1,879,141,37
157,迫真先生,30,5,1,2240,151,36
158,松田陸,1,66,1,515,136,36
159,綱太,26,11,2,1900,102,35
160,テラドン,24,10,4,1920,145,35
161,いまきた加藤,24,11,0,4800,142,34
162,バレーボールくん,21,19,2,591,143,33
163,還暦の巨根オヤジ,20,23,0,1140,183,33
164,肉体派インタビュアー,30,3,0,423,,32
165,ゴーグル男,20,22,0,608,144,32
166,副市長,24,8,1,2230,187,31
167,ダンマー(淫夢),16,26,0,1350,163,30
168,ティーダ(淫夢),27,5,0,683,,30
169,佐野恵太,7,14,0,15300,,29
170,ナイナイ岡村,17,4,5,4370,158,28
171,中山幸一,23,9,0,870,166,28
172,由利(淫夢),9,17,4,6160,130,28
173,IGRS,25,1,0,961,170,26
174,ART(淫夢),10,4,0,13700,188,26
175,DKSGNKTI,19,11,0,246,,25
176,タカシィ,24,0,0,540,,25
177,しんたろう,20,8,0,210,153,24
178,Discovery10で野獣に掘られたやつ(淫夢),11,25,0,129,211,24
179,ついに発掘された男,14,16,0,1570,229,24
180,ウルフ(淫夢),20,5,0,916,186,23
181,茶髪チャラ男(AKNM),20,4,1,180,,23
182,鈴木(淫夢),20,5,0,143,223,23
183,草薙ケン,20,0,1,1430,,22
184,ISHR先生,17,4,1,1460,,21
185,りゅうくん,18,1,1,1100,,21
186,インラン親爺,9,18,1,1230,159,20
187,しあわせ紳士,13,10,0,1570,182,20
188,ドチンピラ,17,1,0,2060,,20
189,義臣,18,1,0,1030,,20
190,野獣大先輩,12,10,0,2300,224,19
191,爆弾岩くん,9,17,0,1710,167,19
192,アキラ(淫夢),17,4,0,159,161,19
193,SUT(淫夢),11,16,0,115,156,19
194,18番(淫夢),14,4,0,3060,179,19
195,優人(WEST),17,3,0,312,,19
196,森林原人,10,7,1,4120,,19
197,TMNG,5,25,0,1060,152,19
198,SNJ弟,12,9,1,811,160,18
199,NT兄,15,2,1,1140,168,18
200,こう(淫夢),11,11,1,536,174,18
201,YMSK,5,22,0,1790,181,18
202,NKI,15,3,0,1210,195,18
203,偽MUR,9,9,0,3980,199,17
204,やりマン兄貴,13,5,0,1800,197,17
205,ダミ声スタッフ,17,0,0,249,,17
206,木村和輝,16,0,1,214,,17
207,星(淫夢),13,4,0,1710,175,17
208,だるま親爺,11,6,0,2510,,17
209,OZW,13,3,0,1410,,16
210,GONTA,13,0,0,2810,,16
211,蟲戦士ヘルワーム,6,14,1,1760,173,16
212,横井警備員,12,5,0,1190,169,16
213,宮永通世,12,3,1,502,180,15
214,佐久間良雄,9,2,4,479,,14
215,SKBNK,11,4,0,1460,,14
216,TTY,11,3,0,1950,146,14
217,HMGC,11,3,0,1840,189,14
218,二軍淫夢のエース,11,6,0,303,234,14
219,砂時計君,14,0,0,262,,14
220,NOBUMASA(淫夢),14,0,0,202,,14
221,INUE,5,1,0,8560,,14
222,NITU,9,9,0,496,203,14
223,TMBK,12,1,0,271,176,13
224,YUIC,12,0,0,341,193,12
225,MRKMR,10,4,0,179,192,12
226,メガデス怪人,5,0,6,946,,12
227,鈴木実,11,1,0,429,,12
228,ケンジィ,11,1,0,216,,12
229,KBT,7,0,0,4030,,11
230,メガデス戦闘員,7,0,3,915,,11
231,ネス(淫夢),8,5,0,336,213,11
232,第三のいなり男,8,3,0,1610,,11
233,OOESNR,9,2,0,595,220,11
234,たるとのオリキャラ,4,12,0,549,114,11
235,近藤P,10,0,0,196,,10
236,SKGC,9,1,0,499,177,10
237,スティーブ・ジョブズ(淫夢),6,5,0,1460,172,10
238,モザイク姉貴,4,11,0,379,190,10
239,真彦(SP),9,1,0,340,,10
240,TNKDISK,9,1,0,157,185,10
241,スカイフィッシュくん,6,5,0,955,,9
242,嫉妬男,9,0,0,384,,9
243,黄色パーカー君,8,0,1,346,,9
244,MTSMAPNMRKNNSKKR,3,10,0,1240,250,9
245,ズ・ゴオマ・グ(淫夢),7,2,1,161,200,9
246,小森(ゴミ漁りの達人),6,2,2,66,154,9
247,すごい高くて日本じゃ手に入らないバラ,6,4,0,1040,198,9
248,灼熱君,8,1,0,529,128,9
249,極道熊,6,3,1,383,209,9
250,ウルトラ巨根課長,3,5,0,3260,184,9
251,貴乃信,8,0,0,693,,9
252,ソーナノ(淫夢),6,5,0,140,225,9
253,野中玄太,8,1,0,124,,9
254,バイト君,5,0,0,3490,206,8
255,ピポサルくん,8,0,0,287,,8
256,GOSEIRED,8,0,0,236,,8
257,中田(淫夢),7,2,0,99,194,8
258,田中(迫真先生),8,0,0,99,201,8
259,ワッキー(精子舐めがいやらしい),7,2,0,90,242,8
260,高校生君,5,1,0,2480,204,8
261,大好き氏,3,9,0,408,,8
262,しょうこちゃん,4,5,0,1190,218,8
263,マジメ君のライバル(SP),7,1,0,94,162,8
264,マッチョの弟の兄貴,5,3,0,1050,171,8
265,ピカチュウパンツ兄貴,7,0,0,513,,8
266,DRVS弟,7,0,0,364,210,7
267,18才童貞君,6,1,0,838,212,7
268,権藤剛,7,0,0,298,,7
269,偽軍畑先輩,6,0,0,1200,,7
270,ウェスカー(淫夢),7,0,0,175,,7
271,渉(淫夢),7,0,0,110,,7
272,ボンバーライオンさん,6,1,0,498,,7
273,TKY(淫夢),3,3,0,2410,191,7
274,YSKN,6,0,0,805,202,7
275,MEGWIN(淫夢),5,3,0,301,,7
276,体育教師(淫夢),6,1,0,262,,7
277,ファンキー遠野,6,0,0,718,,7
278,モルダー(淫夢),6,1,0,123,205,7
279,星の仲間,2,4,0,2540,155,7
280,加納コーチ,5,0,0,1210,,6
281,教頭(淫夢),6,0,0,143,,6
282,野獣保健医,6,0,0,143,,6
283,佐藤翔太,6,0,0,122,,6
284,櫂(ALMAZ),6,0,0,102,,6
285,横原ゴリジュニア,6,0,0,65,196,6
286,炎獣魔神,6,0,0,21,,6
287,サザンクロス君,5,1,0,514,,6
288,日本男児兄貴,5,1,0,421,,6
289,プリケツブラザーズ,4,3,0,321,207,6
290,坂本副機長,5,1,0,257,,6
291,KMR(野獣大先輩),4,3,0,189,254,6
292,隆(淫夢),5,1,0,84,227,6
293,YKB,3,0,1,1520,,6
294,宮野真守(淫夢),4,2,0,377,,5
295,FJNM,5,0,0,332,,5
296,スタッフ中井,5,0,0,242,221,5
297,手錠男,5,0,0,215,,5
298,ポイズン菊池,5,0,0,200,,5
299,傘くん,4,2,0,143,236,5
300,吉川シケタ,5,0,0,141,,5
301,仁(ALMAZ),5,0,0,109,,5
302,ユウスケ(淫夢),5,0,0,100,,5
303,ヨシヒコ(SP),5,0,0,96,,5
304,ペガサスSIY,4,2,0,93,,5
305,山本(迫真先生),5,0,0,87,216,5
306,哲(キックボクサー),5,0,0,64,,5
307,どんちゃん(淫夢),5,0,0,46,233,5
308,谷(淫夢),5,0,0,42,,5
309,テングザル兄貴,2,3,1,228,,5
310,グラサン男(SP),4,1,0,117,,5
311,源氏パイ(淫夢),3,3,0,72,239,5
312,望月輝,3,0,0,1400,,4
313,OCBGC,3,1,0,831,253,4
314,硝子君,4,0,0,325,,4
315,偽遠野,4,0,0,281,,4
316,凛汰,4,0,0,189,,4
317,DJ兄貴,4,0,0,185,214,4
318,二章でDRVSのスカウトを断った奴,1,6,0,161,208,4
319,長井大,4,0,0,114,,4
320,花澤香菜(淫夢),4,0,0,77,,4
321,ガチデブ系の男,4,0,0,73,215,4
322,タカノリ(SP),4,0,0,59,,4
323,藤井聡太(淫夢),1,6,0,10,,4
324,ISI君,3,0,0,993,,4
325,KWBT(淫夢),3,1,0,385,219,4
326,INUEの同級生,3,0,0,766,,4
327,アラブ系スイマー兄貴,3,0,0,578,,4
328,KMD,2,0,0,1550,217,4
329,KGR,2,0,0,1430,,3
330,津田君,2,2,0,290,226,3
331,ティッシュ配り命の男っぽい剛史君,2,2,0,154,237,3
332,AIZW,3,0,0,144,,3
333,豊田力,3,0,0,117,,3
334,PG66でNKTIDKSGの後に出てくるやつ,3,0,0,115,,3
335,院長(fatherless),2,1,0,597,,3
336,イグニス(淫夢),2,2,0,88,,3
337,勇武(COAT),2,0,0,1060,,3
338,メガデス白衣戦闘員,3,0,0,33,,3
339,ヤマネ(淫夢),3,0,0,30,,3
340,石川太陽,2,1,0,428,,3
341,山本竜二,2,1,0,402,,3
342,MSKW,2,1,0,302,,3
343,星条旗兄貴,0,0,0,2800,251,3
344,OKB君,2,1,0,278,230,3
345,ロバートAKYM,2,1,0,197,235,3
346,幻の15人目,1,2,0,671,,3
347,極道兄貴,2,0,0,662,,3
348,爽やか若リーマン君,2,1,0,155,,3
349,YSDKN,2,1,0,154,231,3
350,池沼兄貴,1,0,0,1640,,3
351,MUR兄,1,1,1,113,249,3
352,石川(淫夢),2,1,0,71,228,3
353,野生派ハンサム青年達彦,1,0,0,1520,,3
354,アメリカン兄貴,2,0,0,511,245,3
355,ユウ君,2,0,0,453,,2
356,赤色コート君,1,0,1,407,,2
357,オナニー男,2,0,0,392,,2
358,元祖野獣,2,0,0,284,,2
359,久保帯人(淫夢),2,0,0,232,,2
360,北関東チャラ男,2,0,0,228,,2
361,金子君,2,0,0,177,,2
362,ユウジさん,2,0,0,168,,2
363,KENTO(COAT),2,0,0,134,,2
364,クラウド(COAT),2,0,0,97,,2
365,山本優心,2,0,0,89,,2
366,誠司(COAT),2,0,0,86,,2
367,AKB48の秋元才加ファンだというハンサムな太目中年,0,4,0,84,255,2
368,TEPPEI(COAT),2,0,0,64,,2
369,横井ルイ,2,0,0,60,,2
370,KMR(野獣叔父),2,0,0,40,252,2
371,飯田ショーフキン,2,0,0,38,232,2
372,SRIKNZU(鎮念),2,0,0,29,,2
373,DB亜種,2,0,0,10,,2
374,ひで(46),1,1,0,375,,2
375,野獣叔父,1,1,0,330,241,2
376,バイトの人,1,1,0,287,178,2
377,八神蒼介,0,2,0,733,,2
378,通過一般自転車兄貴,1,1,0,181,246,2
379,野獣社員,1,1,0,177,244,2
380,なだぎ武(ピース太郎),1,1,0,177,,2
381,今どきのドレッドくん,1,1,0,158,240,2
382,羽生結弦(淫夢),1,1,0,125,,2
383,通過一般人兄貴,1,1,0,112,238,2
384,四人目の患者,1,0,0,477,222,1
385,ボンバーARKW,1,0,0,168,,1
386,ガテン系子持ち兄貴,1,0,0,149,,1
387,ホモビ戦士,1,0,0,123,,1
388,YKYM(KNJN∞),1,0,0,115,248,1
389,オモチャ大好きサーファーBOY,1,0,0,105,,1
390,鈴木ツトム,1,0,0,104,243,1
391,MTMTKY,1,0,0,95,,1
392,TDN弟,1,0,0,89,247,1
393,覗かれたMの部屋の覗いてくるやつ,1,0,0,69,,1
394,吉永透のストーカー,1,0,0,48,,1
395,清田(淫夢),1,0,0,10,,1
396,山崎(SP),1,0,0,10,,1
397,雄生(COAT),1,0,0,7,,1
398,吉永透(SP),0,0,0,98,,0
