順位,名前,動画,BB,レス,pixiv,検索,前回,得点
127,こぐま部長,60,15,53,0,12100,132,99
128,ラブオイル校長,23,3,125,1,11700,128,98
129,ITI,40,10,60,0,27600,118,98
130,SKBNK,61,14,66,0,2080,127,96
131,TRN,40,7,89,8,2650,123,95
132,乳首モロ感真面目部長,30,7,123,0,2260,130,94
133,イカせ隊,60,6,56,0,4500,131,93
134,MYN,43,8,61,8,9500,126,91
135,還暦の巨根オヤジ,36,1,90,0,9860,184,91
136,クラウド(淫夢),54,8,66,0,2440,112,89
137,短髪メガネ野郎(短髪モロ感野郎),41,14,86,1,1500,133,87
138,ヘカーティア・ラピスラズリ(淫夢),61,8,45,0,1570,135,85
139,つとむ,53,6,50,1,5430,141,84
140,征矢,70,7,17,0,4660,146,83
141,4003勝の男,36,8,90,1,1020,139,83
142,偽MUR,67,3,20,0,5920,142,83
143,変態郵便屋,53,5,25,8,7830,143,81
144,ZUN(淫夢),63,11,30,1,1620,152,81
145,ミスターマラ菊,72,6,8,0,878,153,77
146,強精コンビ,66,10,19,0,931,154,76
147,まさよしくん,20,1,103,2,1700,136,75
148,奈義(COAT),62,0,5,8,2400,148,75
149,ハンガリー舞曲兄貴,51,2,16,0,15200,177,74
150,大好き氏,17,1,97,2,1380,149,69
151,浣腸芸人,38,12,50,2,3170,137,68
152,MRKM,38,11,47,2,2610,145,66
153,ダンマー(淫夢),41,9,45,0,2200,155,66
154,ECZN,33,2,48,5,2470,150,64
155,KYN弟(AKNM),59,10,6,1,1010,151,64
156,野獣姉,13,4,76,7,4770,170,63
157,綱太,45,6,27,1,2750,182,62
158,野獣兄,19,5,66,5,4590,157,62
159,NT(ニッタ),15,3,89,1,296,144,61
160,ウルフ(淫夢),51,8,18,0,731,156,61
161,変面20でNKTIDKSGの後に出てくるやつ,44,24,23,2,3080,168,61
162,テングザル兄貴,14,2,50,2,17800,171,59
163,野獣大先輩,36,9,39,0,2970,178,58
164,中山幸一,46,3,22,0,847,166,58
165,KBTIT_Jr,47,1,13,0,3600,147,57
166,テラドン,33,7,22,4,8750,160,57
167,島田兄弟,49,20,12,0,755,158,56
168,でこっぱち君,10,0,85,0,962,169,53
169,フィスト大魔王,31,1,33,3,1860,163,52
170,失礼インタビュアー,40,3,18,0,1990,180,51
171,ナイナイ岡村,30,2,18,8,3530,164,51
172,IWS,17,5,60,1,2490,165,50
173,バレーボールくん,36,3,20,2,2440,181,50
174,篤太郎さん,28,2,43,0,932,174,50
175,第三のいなり男,24,2,48,0,2080,212,50
176,KEN(淫夢),23,1,53,0,458,167,50
177,椅子くん,23,3,32,1,9700,159,50
178,小柄メガネのウケ中年,22,3,42,2,1610,185,47
179,アクメルくん,14,3,35,14,752,172,46
180,野獣弟,21,2,39,1,4560,176,46
181,おフェラ座の怪人,40,14,6,1,1610,189,46
182,高校生君,43,10,2,0,1250,213,45
183,佐野恵太,6,5,66,1,5010,188,45
184,KJM,34,8,13,1,3100,173,45
185,HGC,5,0,70,0,3600,175,44
186,INUE君,21,3,13,12,3750,179,43
187,二千ドル男,30,4,11,6,1530,190,43
188,ゆうま(淫夢),32,8,14,3,580,196,43
189,悶絶先生,33,1,7,0,5640,204,42
190,MTSMAPNMRKNNSKKR,9,3,62,0,2030,198,42
191,MMR部長,10,2,60,0,1430,186,41
192,杰兄貴,25,2,25,0,3050,203,41
193,肉体派インタビュアー,24,3,30,0,1180,192,40
194,ティーダ(淫夢),32,1,12,0,1210,201,39
195,INUE,38,5,1,0,572,161,39
196,副市長,30,3,13,1,1420,199,39
