順位,名前,動画,BB,レス,pixiv,検索,前回,得点
67,OGMM,88,15,232,18,11600,49,234
68,うま味紳士,50,1,158,84,17800,55,231
69,軍畑先輩,92,11,203,24,12900,60,230
70,SGCN(淫夢),23,3,388,2,5270,62,224
71,チョコボール向井,193,14,39,0,5880,155,218
72,北浦京子,49,5,303,12,4770,64,217
73,野獣父,124,10,138,12,12000,67,217
74,POPO,109,5,146,3,21900,70,207
75,閉廷おじさん,64,7,231,13,13200,68,206
76,TKGW,68,11,205,13,12500,73,196
77,ポルターガイストくん,64,6,225,5,12700,78,194
78,島田部長,136,17,88,6,7110,80,193
79,OOESNR,121,16,96,1,13300,233,183
80,SGW,123,13,62,13,14700,72,182
81,鈴木(淫夢),168,16,23,0,1550,182,181
82,NSOK,95,24,102,17,15800,76,179
83,ホリ・トオル,95,13,109,13,15700,71,178
84,しみけん,158,0,7,6,10500,82,178
85,赤城武雄,106,2,15,57,3840,77,174
86,まひろ(淫夢),60,5,210,6,1370,65,172
87,豪俊影視,108,4,32,43,3690,,171
88,一転攻勢(シャブラサレータ),84,8,120,7,17300,84,168
89,ポイテーロ,53,3,169,14,15700,74,167
90,肉丸,89,26,112,6,11000,87,162
91,だいちくん,124,12,46,3,11100,83,161
92,観葉植物くん,80,6,98,26,5110,98,160
93,糸引きおじさん,108,16,80,0,7050,,155
94,植木鉢くん,111,6,52,6,9000,99,152
95,NRK,58,1,149,6,8760,79,147
96,EMT(淫夢),83,5,107,1,2150,81,140
97,DRVS,76,22,75,12,12500,85,138
98,OGRSYN,47,2,148,5,11800,89,138
99,AZにゃん,71,12,108,7,4160,86,136
100,クチマン爺,29,4,177,8,7980,88,133
101,白いの(淫夢),59,26,86,5,25000,92,132
102,TKNUC,51,9,95,15,17700,90,131
103,タカダキミヒコ,48,7,125,6,11500,91,128
104,コブラ三木谷,84,12,65,0,7420,100,124
105,ひでのオリキャラ,34,3,58,53,5770,94,122
106,タチ中年,73,7,67,5,9970,97,121
107,関東クレーマー,62,5,86,2,10100,95,117
108,OKDYSNR,101,20,16,1,4490,104,114
109,NT(ニッタ),14,3,84,1,55300,93,112
110,金泰均(COAT),36,6,106,14,6950,103,110
111,マスクド永谷園,46,6,88,4,10100,102,104
112,MNR,28,5,118,7,8110,96,102
113,SIY,79,22,14,7,7770,105,101
114,DKSGNKTI,87,34,21,1,1580,175,100
115,MYN,53,7,57,10,6590,106,98
116,野獣母,32,4,116,0,7340,107,97
117,乳首モロ感真面目部長,31,6,109,0,4140,110,90
118,TRN,36,7,75,6,6200,112,86
119,短髪メガネ野郎(短髪モロ感野郎),37,13,72,1,10400,115,84
120,イカせ隊,53,5,48,0,4330,116,81
121,こぐま部長,55,17,31,0,8960,130,79
122,真崎航,20,2,21,41,7100,118,79
123,イニ義893,20,4,97,8,2090,119,79
124,まさよしくん,21,1,101,0,3170,117,75
125,ITI,37,11,59,1,7040,113,75
126,昭和天皇(淫夢),47,17,49,0,1930,,73
127,4003勝の男,29,7,79,1,1860,129,71
128,クラウド(淫夢),47,8,44,0,2280,123,71
129,KYN弟(AKNM),63,11,4,1,2660,135,69
130,SKBNK,53,11,24,0,2860,215,68
131,野獣兄,28,6,62,4,4290,126,67
132,MRKM,39,11,46,1,4220,121,67
133,筆使いのさとし,59,4,3,2,4260,125,67
134,INUE,51,5,1,12,924,221,64
135,奈義(COAT),51,0,4,7,3480,124,63
136,ECZN,31,2,44,5,3920,127,62
137,椅子くん,39,2,31,1,6270,137,62
138,つとむ,36,5,42,1,3420,109,61
139,偽MUR,48,1,15,0,5750,203,61
140,KBTIT_Jr,36,1,48,0,1050,128,61
141,浣腸芸人,31,11,46,1,2330,141,57
142,征矢,48,1,5,0,6430,,57
143,ダンマー(淫夢),34,7,38,0,1990,167,55
144,変態郵便屋,32,3,21,6,6340,138,55
145,島田兄弟,47,22,12,0,698,139,54
146,二千ドル男,41,9,11,6,1160,132,54
147,ZUN(淫夢),44,9,13,0,3010,,54
148,ウルフ(淫夢),44,7,16,0,812,180,53
149,KEN(淫夢),22,1,49,6,232,140,53
150,ミスターマラ菊,49,4,5,0,464,153,52
151,野獣姉,13,2,70,0,3430,131,51
152,変面20でNKTIDKSGの後に出てくるやつ,40,31,16,1,2010,,51
153,でこっぱち君,8,0,83,0,1190,136,51
154,肉体派インタビュアー,39,2,22,0,548,164,51
155,フィスト大魔王,29,1,30,3,2550,133,50
156,IWS,14,4,59,3,3000,134,50
157,テラドン,34,7,14,5,3360,160,49
158,ヘカーティア・ラピスラズリ(淫夢),43,4,2,3,2020,,49
159,Discovery10で野獣に掘られたやつ(淫夢),17,6,55,0,1810,178,46
160,KJM,36,8,12,1,3210,147,46
161,大好き氏,16,1,50,2,3080,261,46
162,篤太郎さん,27,2,33,0,2080,151,46
163,野獣弟,23,2,38,0,2940,146,45
164,アクメルくん,12,4,32,14,2110,142,44
165,INUE君,23,5,12,12,2900,144,44
166,ブルドックス,16,3,44,1,3990,148,43
167,おフェラ座の怪人,38,9,3,1,2450,145,43
168,しゃがれ声,21,2,36,0,3780,150,43
169,小柄メガネのウケ中年,25,5,30,1,1610,156,43
170,MMR部長,13,2,56,0,1390,120,42
171,佐野恵太,24,7,28,0,4160,169,42
172,バレーボールくん,28,3,20,3,1040,162,42
173,樋口黎,5,1,66,0,3660,143,42
174,KN(淫夢),16,1,50,0,239,149,41
175,ホスト風兄貴,36,1,7,0,726,,40
176,ラブオイル校長,20,3,18,1,9540,111,40
177,還暦の巨根オヤジ,26,1,24,0,1420,163,39
178,いまきた加藤,26,1,12,0,7420,161,39
179,ナイナイ岡村,23,3,7,5,7770,170,39
180,野獣大先輩,25,7,19,0,4370,190,39
181,ホモの兄ちゃん,11,2,51,1,253,154,38
182,強精コンビ,34,5,5,0,721,,37
183,迫真先生,31,14,5,1,2390,157,37
184,失礼インタビュアー,32,2,6,0,1290,,36
185,松田陸,2,0,66,0,546,158,36
186,副市長,26,3,9,1,2490,166,34
187,ゴーグル男,21,1,23,0,1260,165,34
188,ついに発掘された男,20,3,20,0,3290,179,33
189,中山幸一,27,3,10,0,746,171,33
190,綱太,24,2,15,0,111,159,32
191,IGRS,28,5,1,0,2180,173,31
192,ティーダ(淫夢),26,1,8,0,470,168,30
193,YMSK,16,11,24,0,1530,201,30
194,TTY,23,2,3,0,4930,216,29
195,悶絶先生,28,1,1,0,915,,29
196,後ろの木みたいなやつ,26,0,4,0,391,,28
197,茶髪チャラ男(AKNM),25,5,4,1,166,181,28
198,HRNR(淫夢),27,3,1,0,171,,28
199,しあわせ紳士,17,2,15,0,2630,187,27
200,木村和輝,25,0,1,1,376,206,27
201,アキラ(淫夢),24,8,5,0,307,192,27
202,由利(淫夢),12,1,24,2,220,172,26
203,森林原人,11,0,10,1,8840,196,26
204,草薙ケン,22,2,0,2,1780,183,26
205,しんたろう,18,3,8,0,3780,177,26
206,だるま親爺,14,2,12,0,5520,208,26
207,ISHR先生,19,1,6,1,1710,184,25
208,SUT(淫夢),16,0,17,0,153,193,25
209,タカシィ,24,7,0,0,430,176,24
210,ドチンピラ,18,8,3,0,4780,188,24
211,OZW,19,1,5,0,2010,209,24
212,ネス(淫夢),17,2,12,0,501,231,24
213,二軍淫夢のエース,18,4,10,0,425,218,23
214,スティーブ・ジョブズ(淫夢),13,3,11,3,1870,237,23
215,横井警備員,18,0,7,0,1750,212,23
216,池沼兄貴,15,1,9,0,2990,350,22
217,礼二,16,1,2,0,5280,,22
218,KMD,18,0,1,0,3710,328,22
219,宮永通世,18,4,3,2,673,213,22
220,オークション男,20,4,3,0,537,,22
221,りゅうくん,18,1,2,1,1880,185,22
222,こう(淫夢),14,1,12,1,777,200,22
223,インラン親爺,10,1,20,0,1610,186,22
224,文吾,19,3,0,0,2200,,21
225,テングザル兄貴,6,1,23,1,2640,309,21
226,NT兄,17,0,2,1,1310,199,20
227,やりマン兄貴,16,5,5,0,1770,204,20
228,ピカチュウパンツ兄貴,14,5,6,2,1220,265,20
229,爆弾岩くん,9,5,19,0,1570,191,20
230,ダミ声スタッフ,19,1,1,0,525,205,20
231,MTSMAPNMRKNNSKKR,7,0,22,0,1860,244,20
232,NITU,10,2,12,1,2780,222,20
233,優人(WEST),18,0,3,0,202,195,20
234,KBT,15,1,0,0,4560,229,20
235,GONTA,15,4,3,0,2960,210,19
236,マジメ君のライバル(SP),17,9,2,0,1450,263,19
237,義臣,18,1,1,0,920,189,19
238,第三のいなり男,9,1,14,0,2690,232,19
239,NOBUMASA(淫夢),16,2,4,0,432,220,18
240,メガデス怪人,10,2,2,6,1420,226,18
241,18番(淫夢),16,1,4,0,213,194,18
242,NKI,16,1,3,0,677,202,18
243,SNJ弟,12,2,9,0,1140,198,18
244,MRKMR,11,0,7,0,2950,225,17
245,KMR(野獣大先輩),13,4,7,0,742,291,17
246,ゆうま(淫夢),15,2,0,2,220,,17
247,蟲戦士ヘルワーム,6,1,14,1,2900,211,17
248,アメリカン兄貴,14,3,4,0,780,354,17
249,星(淫夢),13,6,5,0,1210,207,17
250,ART(淫夢),10,2,5,0,4050,174,17
251,ズ・ゴオマ・グ(淫夢),8,1,4,5,830,245,16
252,BROS.,9,0,0,1,5400,,15
253,オナニー男,4,1,1,0,10900,357,15
254,HMGC,12,4,2,0,2140,217,15
255,TMNG,13,5,1,1,562,197,15
256,ウェスカー(淫夢),12,1,3,1,355,270,15
257,SKGC,12,5,2,1,750,236,15
258,鈴木実,13,0,2,0,626,227,15
259,嫉妬男,13,3,2,0,582,242,15
260,ボンバーライオンさん,12,1,3,0,871,272,14
261,TMBK,13,5,1,0,562,223,14
262,ハンガリー舞曲兄貴,9,1,7,0,1330,,14
263,万太郎,12,4,0,0,1760,,14
264,小森(ゴミ漁りの達人),9,1,5,2,152,246,14
265,YUIC,13,0,0,0,456,224,13
266,身体大気弱兄,13,5,0,0,105,,13
267,,7,2,9,0,1280,152,13
268,櫻井翔(淫夢),12,2,1,0,183,,13
269,メガデス戦闘員,8,4,0,3,1630,230,13
270,MSW(淫夢),12,1,0,0,97,,12
271,バイト君,5,2,0,0,6890,254,12
272,砂時計君,11,2,0,0,671,219,12
273,堀川雷鼓(淫夢),5,1,0,6,650,,12
274,佐久間良雄,6,0,2,4,630,214,12
275,黄色パーカー君,10,0,0,1,561,243,12
276,無らい,10,1,0,1,513,,12
277,虎寅,11,0,0,0,504,,12
278,KGR,9,0,0,0,2480,329,11
279,変態親父,6,0,0,0,5390,,11
280,関東チャラ男,5,0,2,1,4270,108,11
281,レイザー(レスリングシリーズ),11,1,0,0,147,,11
282,モザイク姉貴,5,1,11,0,491,238,11
283,たるとのオリキャラ,4,0,12,0,916,234,11
284,貴乃信,10,2,0,0,878,251,11
285,ピポサルくん,9,1,2,0,685,255,11
286,近藤P,10,0,1,0,148,235,11
287,ケンジィ,10,0,0,0,613,228,11
288,スカイフィッシュくん,7,1,5,0,991,241,10
289,すごい高くて日本じゃ手に入らないバラ,7,1,4,0,1380,247,10
290,イケボスタッフ,10,0,0,0,199,,10
291,TNKDISK,9,0,2,0,163,240,10
292,TKUC,9,0,0,0,1160,,10
293,K2兄貴,9,0,0,0,1030,,10
294,櫂(ALMAZ),8,0,1,1,450,284,10
295,極道兄貴,7,1,2,0,1920,347,10
296,真彦(SP),9,5,1,0,316,239,10
297,灼熱君,8,0,2,0,767,248,10
298,TKZW,9,1,0,0,618,,10
299,高校生君,8,1,2,0,446,260,9
300,偽軍畑先輩,8,1,0,0,1330,269,9
301,スタッフ中井,8,0,2,0,308,296,9
302,モルダー(淫夢),8,3,2,0,230,278,9
303,ソーナノ(淫夢),6,2,6,0,194,252,9
304,豊田力,9,0,0,0,172,333,9
305,渉(淫夢),9,1,0,0,103,271,9
306,極道熊,6,0,3,1,595,249,9
307,田中(迫真先生),9,4,0,0,80,258,9
308,マッチョの弟の兄貴,5,0,3,0,2400,264,9
309,体育教師(淫夢),8,1,1,0,290,276,9
310,商店主,5,0,0,2,1710,,9
311,ユウスケ(淫夢),8,0,1,0,68,302,9
312,GOSEIRED,8,0,0,0,540,256,9
313,YKB,3,0,5,0,3040,293,9
314,しょうこちゃん,4,1,5,0,1970,262,8
315,中田(淫夢),7,1,2,0,439,257,8
316,権藤剛,6,0,1,0,1930,268,8
317,SRIKNZU(鎮念),6,1,4,0,405,372,8
318,教頭(淫夢),8,0,0,0,168,281,8
319,ワッキー(精子舐めがいやらしい),7,1,2,0,101,259,8
320,仁(ALMAZ),8,0,0,0,72,301,8
321,18才童貞君,6,1,1,0,1290,267,8
322,YSKN,7,2,0,0,742,274,8
323,野獣保健医,6,0,3,0,166,282,8
324,ヒデ(筋肉黄金期),7,1,1,0,141,,8
325,日本男児兄貴,6,2,2,0,485,288,7
326,DRVS弟,7,2,0,0,422,266,7
327,MEGWIN(淫夢),5,0,4,0,294,275,7
328,傘くん,6,0,2,0,294,299,7
329,AKB48の秋元才加ファンだというハンサムな太目中年,3,0,8,0,278,367,7
330,サザンクロス君,6,0,1,0,773,287,7
331,ファンキー遠野,6,2,1,0,637,277,7
332,近藤靖浩,7,0,0,0,112,,7
333,楠(淫夢),7,0,0,0,88,,7
334,プリケツブラザーズ,5,2,3,0,511,289,7
335,ウルトラ巨根課長,4,2,5,0,362,250,7
336,野中玄太,6,0,1,0,276,253,7
337,伸治,4,1,0,0,2740,,7
338,源氏パイ(淫夢),4,1,5,0,137,311,7
339,北関東チャラ男,5,0,2,0,406,360,6
340,炎獣魔神,6,0,0,0,289,286,6
341,佐藤翔太,6,0,0,0,233,283,6
342,ヨシヒコ(SP),6,0,0,0,158,303,6
343,山本(迫真先生),6,1,0,0,142,305,6
344,YNG(淫夢),6,0,0,0,103,,6
345,横原ゴリジュニア,6,0,0,0,78,285,6
346,長井大,6,1,0,0,69,319,6
347,藤井聡太(淫夢),2,1,8,0,67,323,6
348,アキオ(SP),6,0,0,0,60,,6
349,KTYM,5,0,0,0,826,,6
350,山本竜二,4,0,2,0,685,341,6
351,二章でDRVSのスカウトを断った奴,2,1,7,0,180,318,6
352,坂本副機長,5,1,1,0,161,290,6
353,ポイズン菊池,4,2,3,0,148,298,6
354,吉川シケタ,5,0,1,0,116,300,6
355,ガチデブ系の男,4,1,3,0,115,321,6
356,院長(fatherless),5,0,1,0,113,335,6
357,哲(キックボクサー),5,0,1,0,96,306,6
358,隆(淫夢),5,0,1,0,88,292,6
359,ペガサスSIY,4,1,3,0,81,304,6
360,ネアンデルタール,2,0,0,0,3550,,6
361,TKY(淫夢),3,0,3,1,49,273,6
362,偽遠野,5,0,0,0,434,315,5
363,FJNM,5,0,0,0,427,295,5
364,手錠男,5,0,0,0,389,297,5
365,加納コーチ,5,1,0,0,350,280,5
366,三又又三(淫夢),5,0,0,0,231,,5
367,宮野真守(淫夢),3,0,2,1,118,294,5
368,谷(淫夢),5,0,0,0,84,308,5
369,イケボ親父,4,0,0,0,728,,5
370,ドレミー・セーター,3,1,3,0,202,,5
371,ISI君,3,0,0,0,1620,324,5
372,花澤香菜(淫夢),4,1,1,0,92,320,5
373,どんちゃん(淫夢),4,0,1,0,51,307,5
374,INUEの同級生,4,0,0,0,545,326,5
375,アラブ系スイマー兄貴,4,2,0,0,492,327,4
376,横井ルイ,4,0,0,0,444,369,4
377,硝子君,4,0,0,0,316,314,4
378,津田君,3,0,2,0,280,330,4
379,タカノリ(SP),4,0,0,0,77,322,4
380,ヤマネ(淫夢),4,0,0,0,55,339,4
381,PG59メインモデル,3,1,0,0,702,,4
382,OCBGC,3,0,1,0,175,313,4
383,ティッシュ配り命の男っぽい剛史君,2,1,3,0,150,331,4
384,イグニス(淫夢),2,0,3,0,96,336,4
385,メガデス白衣戦闘員,3,0,1,0,81,338,4
386,グラサン男(SP),3,0,1,0,57,310,4
387,星の仲間,1,0,5,0,9,279,4
388,KWBT(淫夢),3,2,1,0,7,325,4
389,野獣叔父,2,0,2,0,445,375,3
390,ユウ君,2,0,0,0,1400,355,3
391,OKB君,2,0,2,0,338,344,3
392,オモチャ大好きサーファーBOY,3,2,0,0,304,389,3
393,DJ兄貴,3,2,0,0,163,317,3
394,ロバートAKYM,2,0,2,0,147,345,3
395,AIZW,3,0,0,0,134,332,3
396,gejir@,3,0,0,0,120,,3
397,吉永透(SP),1,0,4,0,117,398,3
398,MSKW,2,0,1,0,596,342,3
399,望月輝,3,0,0,0,31,312,3
400,石川太陽,2,0,1,0,524,340,3
401,爽やか若リーマン君,2,0,1,0,327,348,3
402,小雪(淫夢),2,0,1,0,321,,3
403,元祖野獣,2,0,1,0,286,358,3
404,MTMTKY,2,1,1,0,256,391,3
405,MRSK,2,0,0,0,748,,3
406,羽生結弦(淫夢),2,0,1,0,119,382,3
407,ひで(46),1,0,3,0,116,374,3
408,石川(淫夢),2,1,1,0,98,352,3
409,YSDKN,2,1,1,0,61,349,3
410,赤色コート君,1,0,0,1,545,356,3
411,八神蒼介,1,0,1,0,950,377,2
412,DB亜種,2,0,0,0,397,373,2
413,勇武(COAT),2,0,0,0,392,337,2
414,偽AKYS,2,0,0,0,379,,2
415,クラウド(COAT),2,0,0,0,354,364,2
416,幻の15人目,1,0,2,0,327,346,2
417,こんなウブそうな男の子,2,0,0,0,291,,2
418,ガテン系子持ち兄貴,2,0,0,0,272,386,2
419,ユウジさん,2,0,0,0,248,362,2
420,MUR兄,1,0,2,0,232,351,2
421,KENTO(COAT),2,0,0,0,196,363,2
422,通過一般人兄貴,1,0,2,0,158,383,2
423,凛汰,2,0,0,0,156,316,2
424,純情スーツ兄貴,2,0,0,0,146,,2
425,金子君,2,0,0,0,124,361,2
426,野獣社員,1,0,2,0,120,379,2
427,誠司(COAT),2,0,0,0,101,366,2
428,山本優心,2,0,0,0,96,365,2
429,TEPPEI(COAT),2,0,0,0,91,368,2
430,バイトの人,1,1,2,0,32,376,2
431,イアン(淫夢),2,0,0,0,10,,2
432,ローライズ君,1,0,0,0,934,,2
433,サムソン高橋,0,0,0,0,1930,,2
434,久保帯人(淫夢),1,0,1,0,176,359,2
435,TDN弟,1,0,1,0,135,392,2
436,なだぎ武(ピース太郎),1,0,1,0,118,380,2
437,通過一般自転車兄貴,1,0,1,0,102,378,2
438,飯田ショーフキン,1,0,1,0,85,371,2
439,今どきのドレッドくん,1,0,1,0,80,381,2
440,覗かれたMの部屋の覗いてくるやつ,1,0,1,0,74,393,2
441,星条旗兄貴,1,0,1,0,39,343,2
442,KMR(野獣叔父),1,0,1,0,29,370,2
443,YKYM(KNJN∞),1,0,1,0,8,388,2
444,ホモビ戦士,1,0,0,0,396,387,1
445,ねこぢるの校長,1,0,0,0,375,,1
446,MUR父,1,0,0,0,323,,1
447,ボンバーARKW,1,0,0,0,294,385,1
448,鈴木ツトム,1,0,0,0,174,390,1
449,四人目の患者,1,0,0,0,171,384,1
450,超あきら,1,0,0,0,168,,1
451,QPちゃん,1,0,0,0,126,,1
452,吉永透のストーカー,1,0,0,0,92,394,1
453,雄生(COAT),1,0,0,0,76,397,1
454,山崎(SP),1,0,0,0,46,396,1
455,清田(淫夢),1,0,0,0,10,395,1
456,色違いネクデカパンツ兄貴,1,0,0,0,10,,1
457,野生派ハンサム青年達彦,1,0,0,0,9,353,1
458,橋本拓哉,0,0,0,0,175,,0
459,遥亮(COAT),0,0,0,0,6,,0
460,あらた(淫夢),0,0,0,0,4,,0
