順位,名前,動画,BB,レス,pixiv,検索,前回,得点
1,野獣先輩,12298,2102,4397,3228,2350000,1,20075
2,変態糞親父,2955,72,2748,245,169000,3,4743
3,KBTIT,1377,152,3244,852,426000,2,4277
4,ひで(淫夢),1133,137,3418,378,488000,4,3708
5,MUR,1437,299,1176,507,268000,7,2800
6,西寺郷太,1282,62,2703,29,113000,9,2776
7,ゆうさく,2145,113,852,100,95800,5,2767
8,淫夢くん,1209,97,1350,646,117000,6,2647
9,TDN,1158,43,1410,257,207000,8,2327
10,虐待おじさん,1063,153,1291,277,124000,10,2110
11,AKNM,961,274,1480,22,41400,27,1764
12,KMR,962,159,777,222,160000,11,1733
13,現場監督,685,97,1919,30,56100,12,1731
14,GO(淫夢),520,114,851,317,455000,13,1718
15,NKTIDKSG,1097,167,865,29,53000,44,1612
16,遠野(淫夢),620,153,756,224,214000,14,1436
17,ガバ穴ダディー,934,85,705,67,63700,18,1417
18,マジメ君,968,186,625,24,86000,19,1391
19,TNOK,682,64,442,333,119000,17,1355
20,うんち提案おじさん,196,18,2055,33,18400,16,1275
21,平野源五郎,535,51,1118,101,51800,20,1247
22,SNJ,854,55,457,109,32300,15,1224
23,関西クレーマー,579,28,858,88,41000,22,1137
24,ONDISK,377,25,1274,26,33000,21,1073
25,バットマン(淫夢),843,37,168,23,8820,23,959
26,ドラゴン田中,452,48,665,95,64900,24,944
27,課長こわれる,491,23,702,73,4350,25,919
28,ピンキー姉貴,321,59,582,149,115000,26,876
29,淫乱テディベア,451,13,326,94,144000,28,852
30,INUEコーチ,37,5,1444,2,8570,29,770
31,肉体派おじゃる丸,452,94,409,38,52800,43,747
32,YOU_THE_ROCK★,410,19,537,18,18100,35,715
33,武田信玄(淫夢),454,28,413,3,9120,114,673
34,じゅんぺい,153,12,860,10,59100,33,652
35,AKYS,273,29,522,79,32000,30,645
36,KYN,273,29,522,79,32000,31,645
37,ハガー市長(淫夢),397,22,382,13,15900,32,617
38,DB(淫夢),144,34,242,263,42900,37,571
39,77歳の肛門モロ感の親爺,318,167,370,24,27300,40,554
40,KBSトリオ,213,15,414,98,29600,36,548
41,ヒゲクマ調教師,135,34,550,71,29100,38,510
42,HTN,127,23,433,67,47900,34,458
43,TRSM,15,5,850,0,8700,39,449
44,テロップくん,359,34,67,9,6560,54,408
45,中野くん(淫夢),118,17,342,48,34400,42,371
46,大島薫,217,1,254,0,15200,66,359
47,剛竜馬,212,23,192,20,16400,41,344
48,クルルァ,159,21,162,61,37200,46,338
49,一般通過爺,132,30,250,38,19100,45,314
50,GTさん,234,6,77,10,7570,122,290
51,ホモコップ,209,24,83,18,16300,48,285
52,セミ兄貴,137,10,234,7,13200,57,274
53,超人サイバーZ,122,23,154,57,16500,52,273
54,HND△,126,13,185,42,11900,53,272
55,第二のいなり男,195,21,58,29,9610,58,263
56,いなり男,66,12,18,174,13400,101,262
57,KMRスタッフ,255,3,6,0,4240,75,262
58,山崎まさゆき,113,2,247,11,10600,50,258
59,ケツデカ課長,127,15,201,15,11800,63,254
60,激ハメ爺ちゃん,156,84,166,5,10200,69,254
61,たると(淫夢),4,1,472,6,812,51,247
62,健介,232,5,2,4,7380,,244
63,AOK,71,7,295,13,9640,56,241
64,敏感ふとまら君,107,13,221,10,10700,47,238
65,関西チャラ男,97,29,195,34,7860,61,236
66,我修院(淫夢),55,12,315,22,1540,59,236
