順位,名前,動画,BB,レス,pixiv,検索,前回,得点
1,野獣先輩,13960,2395,4427,3547,2610000,1,22331
2,KBTIT,1534,163,4398,865,288000,3,4886
3,ひで(淫夢),1265,203,3573,390,266000,4,3708
4,MUR,1689,330,1233,560,150000,5,3016
5,TDN,1183,44,1451,859,119000,9,2887
6,ゆうさく,2097,114,870,114,148000,7,2794
7,西寺郷太,878,7,2788,75,300000,6,2647
8,淫夢くん,1196,99,1365,603,62600,8,2544
9,虐待おじさん,1088,159,1345,320,158000,10,2239
10,GO(淫夢),723,132,945,50,916000,14,2162
11,KMR,1148,186,811,405,109000,12,2068
12,AKNM,1191,293,1630,23,33100,11,2062
13,現場監督,702,107,2101,66,106000,13,1925
14,NKTIDKSG,1247,186,957,35,60800,15,1821
15,ONDISK,418,27,2002,28,366000,24,1813
16,マジメ君,1079,207,735,27,204000,18,1678
17,ガバ穴ダディー,1097,90,834,83,66000,17,1663
18,TNOK,745,65,472,369,295000,19,1645
19,遠野(淫夢),795,179,779,223,169000,16,1577
20,うんち提案おじさん,182,16,2152,72,119000,20,1449
21,SNJ,917,56,472,191,47700,22,1392
22,平野源五郎,589,69,1202,116,25800,21,1332
23,関西クレーマー,706,29,900,95,28900,23,1280
24,ピンキー姉貴,420,74,616,149,349000,28,1226
25,淫乱テディベア,453,15,347,89,369000,29,1085
26,ドラゴン田中,463,52,680,97,155000,26,1055
27,課長こわれる,524,25,757,69,42600,27,1014
28,AKYS,360,71,756,61,206000,35,1005
29,バットマン(淫夢),814,38,171,27,38800,25,965
30,じゅんぺい,217,18,927,14,136000,34,831
31,肉体派おじゃる丸,418,90,551,43,69300,31,806
32,武田信玄(淫夢),529,22,502,8,15300,33,803
33,INUEコーチ,37,5,1462,2,8590,30,779
34,YOU_THE_ROCK★,421,19,565,15,15300,32,734
35,オークション男,496,13,410,12,12000,221,725
36,77歳の肛門モロ感の親爺,397,182,476,25,14600,39,675
37,DB(淫夢),117,30,259,268,156000,38,671
