順位,名前,動画,レス,pixiv,検索,前回,得点
1,野獣先輩,"9,190","4,293","2,958","1,700,000",1,"15,995"
2,変態糞親父,"2,539","4,259",165,"142,000",3,"4,976"
3,KBTIT,"1,199","2,843",814,"391,000",2,"3,826"
4,ひで(淫夢),"1,010","3,238",392,"352,000",4,"3,373"
5,TDN,"1,364","1,312",813,"179,000",7,"3,012"
6,ゆうさく,"2,087",777,105,"102,000",9,"2,683"
7,西寺郷太,"1,323","2,507",38,"19,400",10,"2,634"
8,淫夢くん,"1,194","1,323",639,"123,000",5,"2,618"
9,MUR,"1,256","1,064",500,"188,000",6,"2,476"
10,虐待おじさん,"1,002","1,251",303,"81,300",8,"2,012"
11,KMR,840,693,218,"123,000",11,"1,528"
12,遠野(淫夢),555,720,206,"388,000",13,"1,509"
13,現場監督,565,"1,448",62,"49,500",14,"1,401"
14,GO(淫夢),422,791,289,"181,000",12,"1,288"
15,うんち提案おじさん,173,"1,937",58,"24,200",15,"1,224"
16,SNJ,788,422,177,"28,700",17,"1,205"
17,TNOK,599,380,277,"65,000",18,"1,131"
18,ONDISK,314,"1,149",21,"195,000",16,"1,105"
19,マジメ君,774,508,17,"44,400",24,"1,089"
20,平野源五郎,308,933,113,"42,900",23,930
21,ドラゴン田中,462,632,91,"56,000",19,925
22,課長こわれる,427,624,72,"22,300",25,833
23,ガバ穴ダディー,462,510,37,"32,600",29,787
24,淫乱テディベア,475,299,97,"57,800",22,779
25,関西クレーマー,252,771,75,"43,400",20,756
26,YOU_THE_ROCK★,393,474,17,"23,700",26,671
27,KYN,321,448,84,"28,300",27,657
28,AKNM,472,275,21,"24,600",64,655
29,DB(淫夢),80,216,272,"191,000",28,651
30,AKYS,261,549,44,"53,500",30,633
31,ピンキー姉貴,95,516,156,"61,000",21,570
32,HTN,226,416,76,"51,100",31,561
33,じゅんぺい,143,721,13,"34,500",32,551
34,KBSトリオ,213,380,91,"17,300",34,511
35,ヒゲクマ調教師,163,529,45,"20,200",33,493
36,TRSM,7,839,0,"14,300",35,441
37,中野くん(淫夢),98,325,52,"34,800",36,347
38,剛竜馬,177,163,18,"44,500",38,321
39,セミ兄貴,145,227,20,"26,200",37,305
40,敏感ふとまら君,166,198,10,"19,400",45,294
41,一般通過爺,117,210,37,"26,700",43,286
42,たると(淫夢),16,447,7,"32,300",39,279
43,バットマン(淫夢),161,155,19,"16,400",49,274
44,山崎まさゆき,118,236,11,"19,200",40,266
45,HND△,153,138,25,"17,300",47,264
46,SGCN(淫夢),55,376,2,"11,900",41,257
47,AOK,88,285,14,"8,460",44,253
48,うま味紳士,57,151,90,"28,700",42,251
49,超人サイバーZ,111,143,52,"14,200",48,249
50,ホモコップ,171,64,19,"11,700",51,234
51,我修院(淫夢),43,280,21,"26,500",54,231
52,肉体派おじゃる丸,67,217,29,"25,100",56,230
53,北浦京子,50,292,13,"4,900",53,214
54,OGMM,80,200,15,"16,300",61,211
55,ケツデカ課長,89,166,14,"24,900",88,211
56,関西チャラ男,83,180,30,"7,700",50,211
57,SGW,129,58,34,"9,800",55,202
58,野獣父,110,131,9,"8,850",57,193
59,まひろ(淫夢),55,194,5,"35,700",46,193
60,軍畑先輩,71,162,20,"16,800",59,189
61,POPO,95,138,2,"20,900",58,187
62,NSOK,98,87,21,"17,000",65,180
63,77歳の肛門モロ感の親爺,109,96,15,"6,910",,179
64,ポイテーロ,61,157,17,"18,900",52,175
65,TKGW,45,184,17,"18,500",60,173
66,EMT(淫夢),92,100,3,"18,100",63,163
67,ホリ・トオル,83,94,13,"18,200",68,161
68,肉丸,83,93,4,"16,200",66,150
69,NRK,68,137,4,"5,940",69,146
70,DRVS,78,67,13,"18,300",79,143
71,一転攻勢(シャブラサレータ),76,109,8,"3,310",70,142
72,TKNUC,57,88,14,"19,600",72,135
73,AZにゃん,63,103,8,"10,800",62,133
74,クチマン爺,27,168,12,"10,200",71,133
75,タカダキミヒコ,51,119,6,"15,700",75,132
76,ポルターガイストくん,47,142,5,"4,780",76,128
77,OGRSYN,40,136,5,"13,300",74,126
78,島田部長,75,64,3,"13,400",92,123
79,激ハメ爺ちゃん,72,97,0,317,115,121
80,MNR,49,100,7,"10,100",80,116
81,ラブオイル校長,39,112,3,"14,600",67,113
82,観葉植物くん,33,92,24,"9,480",77,112
83,白いの(淫夢),53,78,5,"13,900",102,111
84,金泰均(COAT),33,95,15,"12,000",86,108
85,ひでのオリキャラ,26,55,50,"3,750",78,107
86,タチ中年,67,48,6,"6,140",84,103
87,関東クレーマー,53,74,2,"7,200",94,99
88,植木鉢くん,62,48,5,"6,270",81,97
89,NT(ニッタ),11,77,47,414,82,97
90,コブラ三木谷,61,56,0,"4,640",105,94
91,MYN,54,52,9,"4,490",85,93
92,マスクド永谷園,36,72,4,"14,200",90,90
93,TRN,40,75,6,"4,020",83,88
94,SIY,70,8,7,"5,900",117,87
95,野獣母,25,106,0,"5,420",91,83
96,関東チャラ男,39,80,1,"3,280",89,83
97,赤城武雄,65,1,14,2280,,82
98,乳首モロ感真面目部長,27,98,1,"3,400",112,80
99,OKDYSNR,70,13,0,"3,420",104,80
100,INUE君,32,56,10,"6,880",96,77
101,まさよしくん,15,97,1,"11,100",73,76
102,綱太,14,1,0,59000,,74
103,ITI,35,58,2,"6,250",93,72
104,テロップくん,48,27,3,"4,540",95,69
105,イカせ隊,42,43,0,"3,710",99,67
106,MMR部長,13,51,10,"18,500",87,67
107,KEN(淫夢),21,43,0,"22,400",97,65
108,野獣兄,26,57,7,"3,050",101,65
109,短髪メガネ野郎(短髪モロ感野郎),29,64,1,"1,390",,63
110,GTさん,21,61,8,"3,740",98,63
111,イニ義893,21,76,1,"1,360",108,61
112,ECZN,30,39,5,"2,440",103,57
113,MRKM,31,43,1,"3,160",106,57
114,たるとのオリキャラ,26,55,0,"1,100",140,55
115,ホモの兄ちゃん,10,48,1,"18,900",119,54
116,野獣姉,12,66,5,"3,340",110,53
117,つとむ,29,37,1,"4,090",109,53
118,4003勝の男,15,72,0,937,,52
119,二千ドル男,39,10,6,718,,51
120,変態郵便屋,27,19,7,"6,520",114,50
121,武田信玄(淫夢),21,54,0,"1,300",,49
122,椅子くん,33,27,0,"2,410",107,49
123,クラウド(淫夢),35,22,0,"1,110",,47
124,島田兄弟,39,12,0,606,129,46
125,IWS,12,54,4,"2,360",111,45
126,HGC,6,66,0,"3,980",118,43
127,ブルドックス,13,33,1,"12,200",121,43
128,灼熱君,8,0,0,34000,,42
129,KBTIT_Jr,17,47,0,623,100,41
130,由利(淫夢),15,0,1,24100,,40
131,しゃがれ声,21,32,0,"2,810",120,40
132,KN(淫夢),16,47,0,297,122,40
133,ハガー市長(淫夢),34,1,4,1250,,40
134,アクメルくん,11,29,11,"1,370",113,38
135,野獣弟,17,35,0,"1,610",124,36
136,松田陸,2,66,0,991,116,36
137,だいちくん,14,20,0,"11,900",126,36
138,篤太郎さん,20,27,0,"1,850",125,35
139,おフェラ座の怪人,33,1,0,"1,750",,35
140,浣腸芸人,13,37,1,"1,180",128,34
141,小柄メガネのウケ中年,19,22,1,"1,510",,33
142,いまきた加藤,21,10,0,"6,440",139,32
143,バレーボールくん,20,18,2,604,127,32
144,ゴーグル男,18,22,0,945,123,30
145,テラドン,23,0,5,1930,,30
146,TTY,26,3,0,"2,120",,30
147,ミスターマラ菊,27,4,0,540,,30
148,こぐま部長,24,4,0,"2,670",,29
149,KMRスタッフ,15,0,0,12400,,27
150,KJM,19,9,1,"1,690",,26
151,迫真先生,22,4,1,"1,170",133,26
152,TMNG,5,23,2,"5,130",131,24
153,しんたろう,18,2,0,1800,,21
154,小森(ゴミ漁りの達人),5,1,15,66,,21
155,星の仲間,3,1,0,16800,,20
156,SUT(淫夢),10,14,0,"1,950",137,19
157,いなり男,12,0,5,1730,,19
158,ナイナイ岡村,11,3,4,"1,780",,18
159,インラン親爺,7,18,1,"1,280",,18
160,SNJ弟,12,9,1,777,135,18
161,アキラ(淫夢),16,4,0,154,134,18
162,マジメ君のライバル(SP),2,0,0,16000,,18
163,ダンマー(淫夢),9,15,0,1250,,18
164,NKTIDKSG,13,4,0,"1,730",,17
165,KYN弟(AKNM),14,0,1,"1,430",,16
166,中山幸一,15,2,0,397,,16
167,爆弾岩くん,7,17,0,470,132,16
168,NT兄,14,0,1,958,,16
169,横井警備員,14,0,0,1700,,16
170,IGRS,13,0,1,879,,15
171,マッチョの弟の兄貴,13,0,0,1210,,14
172,スティーブ・ジョブズ(淫夢),4,0,3,7060,,14
173,蟲戦士ヘルワーム,3,14,2,"1,770",136,14
174,こう(淫夢),7,9,1,"1,210",130,14
175,星(淫夢),12,0,0,730,,13
176,TMBK,12,0,0,269,,12
177,SKGC,11,0,0,818,,12
178,バイトの人,1,0,0,10700,,12
179,18番(淫夢),11,1,0,155,,12
180,宮永通世,9,1,1,756,,11
181,YMSK,3,15,0,658,,11
182,しあわせ紳士,9,2,0,1010,,11
183,還暦の巨根オヤジ,9,1,0,"1,470",,11
184,ウルトラ巨根課長,2,0,0,8530,,11
185,TNKDISK,10,0,0,500,,11
186,ウルフ(淫夢),9,2,0,348,,10
187,副市長,8,0,0,1720,,10
188,ART(淫夢),7,1,0,2070,,10
189,HMGC,8,0,0,1390,,9
190,モザイク姉貴,2,11,1,433,138,9
191,TKY(淫夢),3,3,1,"3,330",141,9
192,MRKMR,8,0,0,429,,8
193,YUIC,8,0,0,296,,8
194,中田(淫夢),7,2,0,125,,8
195,NKI,7,0,0,1030,,8
196,横原ゴリジュニア,4,0,0,3870,,8
197,やりマン兄貴,2,1,0,5150,,8
198,すごい高くて日本じゃ手に入らないバラ,6,3,0,65,,8
199,偽MUR,3,0,0,4150,,7
200,ズ・ゴオマ・グ(淫夢),5,1,1,578,,7
201,田中(迫真先生),7,0,0,55,,7
202,YSKN,6,0,0,837,,7
203,NITU,6,0,0,749,,7
204,高校生君,5,1,0,487,,6
205,モルダー(淫夢),5,1,0,57,,6
206,バイト君,3,0,0,"2,240",,5
207,プリケツブラザーズ,1,1,0,3190,,5
208,二章でDRVSのスカウトを断った奴,2,5,0,79,,5
209,極道熊,2,2,1,484,,4
210,DRVS弟,4,0,0,335,,4
211,Discovery10で野獣に掘られたやつ(淫夢),2,4,0,281,,4
212,18才童貞君,4,0,0,237,,4
213,ネス(淫夢),4,0,0,216,,4
214,DJ兄貴,4,0,0,163,,4
215,ガチデブ系の男,4,0,0,96,,4
216,山本(迫真先生),4,0,0,41,,4
217,KMD,2,0,0,1970,,4
218,しょうこちゃん,3,0,0,956,,4
219,KWBT(淫夢),3,1,0,297,,4
220,OOESNR,3,0,0,684,,4
221,スタッフ中井,3,0,0,261,,3
222,四人目の患者,1,0,0,2250,,3
223,鈴木(淫夢),2,2,0,168,,3
224,野獣大先輩,2,1,0,618,,3
225,ソーナノ(淫夢),3,0,0,107,,3
226,小熊松村君,2,1,0,49,,3
227,隆(淫夢),2,1,0,43,,3
228,石川(淫夢),2,1,0,23,,3
229,ついに発掘された男,2,1,0,8,,3
230,OKB君,2,0,0,350,,2
231,YSDKN,2,0,0,161,,2
232,飯田ショーフキン,2,0,0,18,,2
233,どんちゃん(淫夢),2,0,0,9,,2
234,二軍淫夢のエース,1,2,0,8,,2
