順位,名前,動画,レス,pixiv,検索,得点
1,野獣先輩,"2,975","3,374","1,271","307,000",7927
2,TDN,"1,104",648,718,"277,000",2747
3,淫夢くん,919,704,469,"201,000",2293
4,ひで(淫夢),647,919,201,"253,000",2020
5,KBTIT,414,"1,018",213,"70,600",1716
6,虐待おじさん,765,708,174,"50,100",1697
7,MUR,784,454,231,"107,000",1576
8,DB(淫夢),895,103,260,"281,000",1539
9,GO(淫夢),235,489,205,"116,000",1045
10,KMR,613,252,86,"87,600",1039
11,遠野(淫夢),511,242,86,"127,000",966
12,ドラゴン田中,410,444,56,"33,600",944
13,西寺郷太,236,630,36,"20,100",922
14,TNOK,484,202,131,"71,000",888
15,ピンキー姉貴,340,223,72,"85,500",721
16,KYN,296,280,70,"35,700",682
17,変態糞親父,148,319,68,"107,000",642
18,HTN,227,277,70,"61,200",635
19,SNJ,273,180,91,"31,800",576
20,課長こわれる,173,258,23,"103,000",557
21,ONDISK,138,380,9,"23,400",550
22,ヒゲクマ調教師,118,319,26,"18,900",482
23,KBSトリオ,143,201,49,"49,300",442
24,AKYS,171,189,32,"29,100",421
25,SGCN(淫夢),99,310,3,"6,450",418
26,YOU_THE_ROCK★,156,194,7,"17,800",376
27,淫乱テディベア,91,177,22,"13,700",304
28,AOK,93,153,13,"11,600",271
29,平野源五郎,86,142,26,"10,800",265
30,セミ兄貴,113,109,17,"14,500",254
31,たると(淫夢),16,208,5,"18,200",247
32,ホリ・トオル,16,226,0,"4,480",246
33,関西チャラ男,75,119,16,"12,600",223
34,山崎まさゆき,87,114,8,"8,990",218
35,POPO,91,95,3,"16,300",205
36,野獣父,93,95,8,"8,460",204
37,超人サイバーZ,69,80,37,"13,000",199
38,まひろ(淫夢),49,108,3,"24,900",185
39,SGW,118,24,24,"15,800",182
40,ラブオイル校長,69,91,0,"9,190",169
41,NSOK,84,47,15,"13,000",159
42,クチマン爺,23,114,5,"13,600",156
43,軍畑先輩,44,81,15,"10,400",150
44,じゅんぺい,55,84,3,"7,360",149
45,白いの(淫夢),56,42,4,"28,800",131
46,中野くん(淫夢),34,77,11,"7,670",130
47,ポイテーロ,29,77,6,"9,990",122
48,ホモコップ,76,25,11,"9,870",122
49,TRN,43,59,10,"7,810",120
50,TKNUC,59,45,8,"7,790",120
51,OGRSYN,37,77,2,"3,640",120
52,ITI,35,43,2,"36,400",116
53,タカダキミヒコ,36,62,5,"7,120",110
54,AZにゃん,43,38,17,"10,400",108
55,一般通過爺,35,57,3,"12,400",107
56,DRVS,61,21,10,"14,600",107
57,観葉植物くん,16,56,20,"11,200",103
58,一転攻勢(シャブラサレータ),35,58,5,"4,350",102
59,我修院(淫夢),19,66,2,"5,730",93
60,MYN,50,33,5,"4,190",92
61,関東チャラ男,29,50,3,"7,390",89
62,金泰均(COAT),28,42,9,"10,270",89
63,NRK,35,43,5,"5,490",88
64,INUE君,28,41,9,"8,310",86
65,NT(ニッタ),15,38,24,"9,010",86
66,KN(淫夢),2,23,34,"19,400",78
67,EMT(淫夢),34,24,4,"8,820",71
68,マジメ君,22,40,1,"5,730",69
69,ECZN,30,27,4,"5,170",66
70,MRKM,26,30,3,"5,060",64
71,HND△,23,29,2,"7,410",61
72,まさよしくん,13,37,0,"9,540",60
73,TKGW,20,34,0,"5,140",59
74,野獣兄,24,20,6,"3,170",53
75,MNR,20,23,4,"3,080",50
76,ひでのオリキャラ,7,18,13,"9,240",47
77,KEN(淫夢),8,16,7,"14,000",45
78,イニ義893,11,12,0,"21,800",45
